chord,number
Ⅰ,1
#Ⅰ,2
ⅱ,3
#ⅱ,4
ⅲ,5
Ⅳ,6
#Ⅳ,7
Ⅴ,8
#Ⅴ,9
ⅵ,10
#ⅵ,11
ⅶ,12
Ⅰm,13
#Ⅰm,14
ⅱm,15
#ⅱm,16
ⅲm,17
Ⅳm,18
#Ⅳm,19
Ⅴm,20
#Ⅴm,21
ⅵm,22
#ⅵm,23
ⅶm,24
Ⅰ7,25
#Ⅰ7,26
ⅱ7,27
#ⅱ7,28
ⅲ7,29
Ⅳ7,30
#Ⅳ7,31
Ⅴ7,32
#Ⅴ7,33
ⅵ7,34
#ⅵ7,35
ⅶ7,36
Ⅰm7(b5),37
#Ⅰm7(b5),38
ⅱm7(b5),39
#ⅱm7(b5),40
ⅲm7(b5),41
Ⅳm7(b5),42
#Ⅳm7(b5),43
Ⅴm7(b5),44
#Ⅴm7(b5),45
ⅵm7(b5),46
#ⅵm7(b5),47
ⅶm7(b5),48
ⅠmM7,49
#ⅠmM7,50
ⅱmM7,51
#ⅱmM7,52
ⅲmM7,53
ⅣmM7,54
#ⅣmM7,55
ⅤmM7,56
#ⅤmM7,57
ⅵmM7,58
#ⅵmM7,59
ⅶmM7,60
Ⅰdim,61
#Ⅰdim,62
ⅱdim,63
#ⅱdim,64
ⅲdim,65
Ⅳdim,66
#Ⅳdim,67
Ⅴdim,68
#Ⅴdim,69
ⅵdim,70
#ⅵdim,71
ⅶdim,72
