ⅣM7
Ⅰ/E
ⅱm Ⅴ7
ⅠM7 Ⅴm Gb7(#11)
ⅣM7
Ⅰ/E
ⅱm Ⅴ7
Ⅰ Ⅴm Gb7(#11)
ⅣM7 Ⅴ7/F
ⅲm7 ⅵm7
ⅱm7 Ⅴ7 G#dim
ⅵm ⅵm7/G
ⅣM7 ⅶ7
ⅲm7 Eb7
ⅱm7 Ⅳ/C
Ⅴsus4 Ⅴ
ⅣM7 ⅱm/F
ⅲm7 Ⅰ/E
ⅱm7 Ⅴ
ⅠM7 Ⅴm7 Gb7(#11)
ⅣM7 ⅱm/F
ⅲm7 Ⅰ/E
ⅱm7 Ⅴ G#dim
ⅵm ⅲm/G
ⅣM9 Ⅰ/E
ⅱm7
Ⅴsus4
ⅣM7
Ⅰ/E
ⅱm Ⅴ7
ⅠM7 Ⅴm7 Gb7(#11)
Ⅰ ⅶ
ⅣM7
Ⅰ/E
ⅱm Ⅴ
Ⅰ Ⅴm Gb7(#11)
ⅣM7 Ⅴ7/F
ⅲm7 ⅵm
ⅱm7 Ⅴ7 G#dim
ⅵm ⅵm7/G
ⅣM7 ⅶ7
ⅲm7 Eb7
ⅱm7 Ⅳ/C
Ⅴsus4
ⅣM7 ⅱm/F
ⅲm7 Ⅰ/E
ⅱm7 Ⅴ7
ⅠM7 Ⅴm7 Gb7(#11)
ⅣM7 Ⅴ7/F
ⅲm7 Ⅰ/E
ⅱm7 Ⅴ7
Ⅰ
F#m7(b5) ⅶ7(#9)
ⅲm7 ⅵ7(b9)
ⅱm7 Ⅰ/E
Ⅳm7
Ⅳsus4 Ⅳ
Ⅴ
ⅣM7
ⅲm7
ⅱm7 Ⅴ7
ⅠM7 Ⅴm7 Ab7(#11)
ⅣM7
ⅲm7 Ⅰ/F#
ⅱm7 Ⅴ7 A#dim7
ⅵm ⅲ7/A#
Ⅰ/A ⅱ7/G#
Ⅳ Ⅰ/F#
ⅱm7 EbM7
ⅠM9
