Pattern,Count
"('コM7', 'グ/E', 'アm', 'ゴ7')",3
"('グ/E', 'アm', 'ゴ7', 'グM7')",2
"('グ', 'ゴm', 'Gb7(#11)', 'コM7')",2
"('ゴm', 'Gb7(#11)', 'コM7', 'ゴ7/F')",2
"('Gb7(#11)', 'コM7', 'ゴ7/F', 'ィm7')",3
"('アm7', 'ゴ7', 'G#dim', 'ウm')",2
"('ゴ7', 'G#dim', 'ウm', 'ウm7/G')",2
"('G#dim', 'ウm', 'ウm7/G', 'コM7')",2
"('ウm', 'ウm7/G', 'コM7', 'ェ7')",2
"('ウm7/G', 'コM7', 'ェ7', 'ィm7')",2
"('コM7', 'ェ7', 'ィm7', 'Eb7')",2
"('ェ7', 'ィm7', 'Eb7', 'アm7')",2
"('ィm7', 'Eb7', 'アm7', 'コ/C')",2
"('Eb7', 'アm7', 'コ/C', 'ゴsus4')",2
"('コM7', 'アm/F', 'ィm7', 'グ/E')",3
"('アm/F', 'ィm7', 'グ/E', 'アm7')",3
"('ィm7', 'グ/E', 'アm7', 'ゴ')",2
"('グM7', 'ゴm7', 'Gb7(#11)', 'コM7')",2
"('ゴ7', 'グM7', 'ゴm7', 'Gb7(#11)')",2
"('ィm7', 'グ/E', 'アm7', 'ゴ7')",2
"('コM7', 'グ/E', 'アm', 'ゴ7', 'グM7')",2
"('グ', 'ゴm', 'Gb7(#11)', 'コM7', 'ゴ7/F')",2
"('ゴm', 'Gb7(#11)', 'コM7', 'ゴ7/F', 'ィm7')",2
"('アm7', 'ゴ7', 'G#dim', 'ウm', 'ウm7/G')",2
"('ゴ7', 'G#dim', 'ウm', 'ウm7/G', 'コM7')",2
"('G#dim', 'ウm', 'ウm7/G', 'コM7', 'ェ7')",2
"('ウm', 'ウm7/G', 'コM7', 'ェ7', 'ィm7')",2
"('ウm7/G', 'コM7', 'ェ7', 'ィm7', 'Eb7')",2
"('コM7', 'ェ7', 'ィm7', 'Eb7', 'アm7')",2
"('ェ7', 'ィm7', 'Eb7', 'アm7', 'コ/C')",2
"('ィm7', 'Eb7', 'アm7', 'コ/C', 'ゴsus4')",2
"('コM7', 'アm/F', 'ィm7', 'グ/E', 'アm7')",3
"('アm/F', 'ィm7', 'グ/E', 'アm7', 'ゴ')",2
"('グ', 'ゴm', 'Gb7(#11)', 'コM7', 'ゴ7/F', 'ィm7')",2
"('アm7', 'ゴ7', 'G#dim', 'ウm', 'ウm7/G', 'コM7')",2
"('ゴ7', 'G#dim', 'ウm', 'ウm7/G', 'コM7', 'ェ7')",2
"('G#dim', 'ウm', 'ウm7/G', 'コM7', 'ェ7', 'ィm7')",2
"('ウm', 'ウm7/G', 'コM7', 'ェ7', 'ィm7', 'Eb7')",2
"('ウm7/G', 'コM7', 'ェ7', 'ィm7', 'Eb7', 'アm7')",2
"('コM7', 'ェ7', 'ィm7', 'Eb7', 'アm7', 'コ/C')",2
"('ェ7', 'ィm7', 'Eb7', 'アm7', 'コ/C', 'ゴsus4')",2
"('コM7', 'アm/F', 'ィm7', 'グ/E', 'アm7', 'ゴ')",2
"('アm7', 'ゴ7', 'G#dim', 'ウm', 'ウm7/G', 'コM7', 'ェ7')",2
"('ゴ7', 'G#dim', 'ウm', 'ウm7/G', 'コM7', 'ェ7', 'ィm7')",2
"('G#dim', 'ウm', 'ウm7/G', 'コM7', 'ェ7', 'ィm7', 'Eb7')",2
"('ウm', 'ウm7/G', 'コM7', 'ェ7', 'ィm7', 'Eb7', 'アm7')",2
"('ウm7/G', 'コM7', 'ェ7', 'ィm7', 'Eb7', 'アm7', 'コ/C')",2
"('コM7', 'ェ7', 'ィm7', 'Eb7', 'アm7', 'コ/C', 'ゴsus4')",2
"('アm7', 'ゴ7', 'G#dim', 'ウm', 'ウm7/G', 'コM7', 'ェ7', 'ィm7')",2
"('ゴ7', 'G#dim', 'ウm', 'ウm7/G', 'コM7', 'ェ7', 'ィm7', 'Eb7')",2
"('G#dim', 'ウm', 'ウm7/G', 'コM7', 'ェ7', 'ィm7', 'Eb7', 'アm7')",2
"('ウm', 'ウm7/G', 'コM7', 'ェ7', 'ィm7', 'Eb7', 'アm7', 'コ/C')",2
"('ウm7/G', 'コM7', 'ェ7', 'ィm7', 'Eb7', 'アm7', 'コ/C', 'ゴsus4')",2
