Pattern,Count
"('戊', '奴m7', '失m7', '打')",2
"('奴m7', '失m7', '打7', '弘')",2
"('戊M7', '奴m7', '失m7', '打7')",2
"('失m7', '打7', '弘', '戊M7')",3
"('打7', '弘', '戊M7', '弘/D')",3
"('弘', '戊M7', '弘/D', '失m7')",7
"('戊M7', '弘/D', '失m7', '打7sus4')",9
"('弘/D', '失m7', '打7sus4', '打7')",8
"('失m7', '打7sus4', '打7', '弘M7')",2
"('打7sus4', '打7', '弘M7', '弘')",2
"('打7', '弘M7', '弘', '戊M7')",2
"('弘M7', '弘', '戊M7', '弘/D')",2
"('弘/D', '失m7', '打7sus4', '弘sus4')",2
"('失m7', '打7sus4', '弘sus4', '弘')",2
"('打7sus4', '弘sus4', '弘', '戊M7')",2
"('弘sus4', '弘', '戊M7', '弘/D')",2
"('戊M7', '弘/D', '失m7', '打7')",5
"('弘/D', '失m7', '打7', '戊M7')",3
"('失m7', '打7', '戊M7', '弘/D')",2
"('打7', '戊M7', '弘/D', '失m7')",5
"('失m7', '打7sus4', '打7', '戊M7')",3
"('打7sus4', '打7', '戊M7', '弘/D')",3
"('弘/D', '失m7', '打7', '弘')",2
"('弘M7', '戊M7', '弘/D', '失m7')",2
"('失m7', '打7', '弘', '戊M7', '弘/D')",3
"('打7', '弘', '戊M7', '弘/D', '失m7')",3
"('弘', '戊M7', '弘/D', '失m7', '打7sus4')",4
"('戊M7', '弘/D', '失m7', '打7sus4', '打7')",7
"('弘/D', '失m7', '打7sus4', '打7', '弘M7')",2
"('失m7', '打7sus4', '打7', '弘M7', '弘')",2
"('打7sus4', '打7', '弘M7', '弘', '戊M7')",2
"('打7', '弘M7', '弘', '戊M7', '弘/D')",2
"('弘M7', '弘', '戊M7', '弘/D', '失m7')",2
"('戊M7', '弘/D', '失m7', '打7sus4', '弘sus4')",2
"('弘/D', '失m7', '打7sus4', '弘sus4', '弘')",2
"('失m7', '打7sus4', '弘sus4', '弘', '戊M7')",2
"('打7sus4', '弘sus4', '弘', '戊M7', '弘/D')",2
"('弘sus4', '弘', '戊M7', '弘/D', '失m7')",2
"('弘', '戊M7', '弘/D', '失m7', '打7')",3
"('戊M7', '弘/D', '失m7', '打7', '戊M7')",3
"('弘/D', '失m7', '打7', '戊M7', '弘/D')",2
"('失m7', '打7', '戊M7', '弘/D', '失m7')",2
"('打7', '戊M7', '弘/D', '失m7', '打7sus4')",3
"('弘/D', '失m7', '打7sus4', '打7', '戊M7')",3
"('失m7', '打7sus4', '打7', '戊M7', '弘/D')",3
"('打7sus4', '打7', '戊M7', '弘/D', '失m7')",3
"('戊M7', '弘/D', '失m7', '打7', '弘')",2
"('弘/D', '失m7', '打7', '弘', '戊M7')",2
"('弘M7', '戊M7', '弘/D', '失m7', '打7sus4')",2
"('打7', '戊M7', '弘/D', '失m7', '打7')",2
"('失m7', '打7', '弘', '戊M7', '弘/D', '失m7')",3
"('打7', '弘', '戊M7', '弘/D', '失m7', '打7sus4')",2
"('弘', '戊M7', '弘/D', '失m7', '打7sus4', '打7')",3
"('弘/D', '失m7', '打7sus4', '打7', '弘M7', '弘')",2
"('失m7', '打7sus4', '打7', '弘M7', '弘', '戊M7')",2
"('打7sus4', '打7', '弘M7', '弘', '戊M7', '弘/D')",2
"('打7', '弘M7', '弘', '戊M7', '弘/D', '失m7')",2
"('弘M7', '弘', '戊M7', '弘/D', '失m7', '打7sus4')",2
"('戊M7', '弘/D', '失m7', '打7sus4', '弘sus4', '弘')",2
"('弘/D', '失m7', '打7sus4', '弘sus4', '弘', '戊M7')",2
"('失m7', '打7sus4', '弘sus4', '弘', '戊M7', '弘/D')",2
"('打7sus4', '弘sus4', '弘', '戊M7', '弘/D', '失m7')",2
"('弘sus4', '弘', '戊M7', '弘/D', '失m7', '打7')",2
"('弘', '戊M7', '弘/D', '失m7', '打7', '戊M7')",2
"('戊M7', '弘/D', '失m7', '打7', '戊M7', '弘/D')",2
"('弘/D', '失m7', '打7', '戊M7', '弘/D', '失m7')",2
"('打7', '戊M7', '弘/D', '失m7', '打7sus4', '打7')",2
"('戊M7', '弘/D', '失m7', '打7sus4', '打7', '戊M7')",3
"('弘/D', '失m7', '打7sus4', '打7', '戊M7', '弘/D')",3
"('失m7', '打7sus4', '打7', '戊M7', '弘/D', '失m7')",3
"('打7sus4', '打7', '戊M7', '弘/D', '失m7', '打7sus4')",2
"('戊M7', '弘/D', '失m7', '打7', '弘', '戊M7')",2
"('弘/D', '失m7', '打7', '弘', '戊M7', '弘/D')",2
"('弘M7', '戊M7', '弘/D', '失m7', '打7sus4', '打7')",2
"('失m7', '打7', '弘', '戊M7', '弘/D', '失m7', '打7sus4')",2
"('打7', '弘', '戊M7', '弘/D', '失m7', '打7sus4', '打7')",2
"('弘/D', '失m7', '打7sus4', '打7', '弘M7', '弘', '戊M7')",2
"('失m7', '打7sus4', '打7', '弘M7', '弘', '戊M7', '弘/D')",2
"('打7sus4', '打7', '弘M7', '弘', '戊M7', '弘/D', '失m7')",2
"('打7', '弘M7', '弘', '戊M7', '弘/D', '失m7', '打7sus4')",2
"('戊M7', '弘/D', '失m7', '打7sus4', '弘sus4', '弘', '戊M7')",2
"('弘/D', '失m7', '打7sus4', '弘sus4', '弘', '戊M7', '弘/D')",2
"('失m7', '打7sus4', '弘sus4', '弘', '戊M7', '弘/D', '失m7')",2
"('打7sus4', '弘sus4', '弘', '戊M7', '弘/D', '失m7', '打7')",2
"('弘', '戊M7', '弘/D', '失m7', '打7', '戊M7', '弘/D')",2
"('戊M7', '弘/D', '失m7', '打7', '戊M7', '弘/D', '失m7')",2
"('打7', '戊M7', '弘/D', '失m7', '打7sus4', '打7', '戊M7')",2
"('戊M7', '弘/D', '失m7', '打7sus4', '打7', '戊M7', '弘/D')",3
"('弘/D', '失m7', '打7sus4', '打7', '戊M7', '弘/D', '失m7')",3
"('失m7', '打7sus4', '打7', '戊M7', '弘/D', '失m7', '打7sus4')",2
"('戊M7', '弘/D', '失m7', '打7', '弘', '戊M7', '弘/D')",2
"('弘/D', '失m7', '打7', '弘', '戊M7', '弘/D', '失m7')",2
"('失m7', '打7', '弘', '戊M7', '弘/D', '失m7', '打7sus4', '打7')",2
"('弘/D', '失m7', '打7sus4', '打7', '弘M7', '弘', '戊M7', '弘/D')",2
"('失m7', '打7sus4', '打7', '弘M7', '弘', '戊M7', '弘/D', '失m7')",2
"('打7sus4', '打7', '弘M7', '弘', '戊M7', '弘/D', '失m7', '打7sus4')",2
"('戊M7', '弘/D', '失m7', '打7sus4', '弘sus4', '弘', '戊M7', '弘/D')",2
"('弘/D', '失m7', '打7sus4', '弘sus4', '弘', '戊M7', '弘/D', '失m7')",2
"('失m7', '打7sus4', '弘sus4', '弘', '戊M7', '弘/D', '失m7', '打7')",2
"('弘', '戊M7', '弘/D', '失m7', '打7', '戊M7', '弘/D', '失m7')",2
"('打7', '戊M7', '弘/D', '失m7', '打7sus4', '打7', '戊M7', '弘/D')",2
"('戊M7', '弘/D', '失m7', '打7sus4', '打7', '戊M7', '弘/D', '失m7')",3
"('弘/D', '失m7', '打7sus4', '打7', '戊M7', '弘/D', '失m7', '打7sus4')",2
"('戊M7', '弘/D', '失m7', '打7', '弘', '戊M7', '弘/D', '失m7')",2
