Pattern,Count
"('ェm7(b5)', 'ィ7(b9)', 'ウm7', 'ゴm7')",2
"('コM7', 'コmM7', 'ィm7', 'ウ7(b9)')",3
"('コmM7', 'ィm7', 'ウ7(b9)', 'アm7')",3
"('ィm7', 'ウ7(b9)', 'アm7', 'ゴ7sus4')",3
"('ウ7(b9)', 'アm7', 'ゴ7sus4', 'グM7')",2
"('アm7', 'ゴ7sus4', 'グM7', 'ェm7(b5)')",2
"('ゴ7sus4', 'グM7', 'ェm7(b5)', 'ィ7/F#')",2
"('グM7', 'ェm7(b5)', 'ィ7/F#', 'ウm7')",2
"('ェm7(b5)', 'ィ7/F#', 'ウm7', 'ゴm7')",2
"('ィ7/F#', 'ウm7', 'ゴm7', 'グ7sus4')",2
"('Db', 'アm7(b5)', 'ゴ7', 'グm7')",2
"('コM7', 'コmM7', 'ィm7', 'ウ7(b9)', 'アm7')",3
"('コmM7', 'ィm7', 'ウ7(b9)', 'アm7', 'ゴ7sus4')",3
"('ィm7', 'ウ7(b9)', 'アm7', 'ゴ7sus4', 'グM7')",2
"('ウ7(b9)', 'アm7', 'ゴ7sus4', 'グM7', 'ェm7(b5)')",2
"('アm7', 'ゴ7sus4', 'グM7', 'ェm7(b5)', 'ィ7/F#')",2
"('ゴ7sus4', 'グM7', 'ェm7(b5)', 'ィ7/F#', 'ウm7')",2
"('グM7', 'ェm7(b5)', 'ィ7/F#', 'ウm7', 'ゴm7')",2
"('ェm7(b5)', 'ィ7/F#', 'ウm7', 'ゴm7', 'グ7sus4')",2
"('コM7', 'コmM7', 'ィm7', 'ウ7(b9)', 'アm7', 'ゴ7sus4')",3
"('コmM7', 'ィm7', 'ウ7(b9)', 'アm7', 'ゴ7sus4', 'グM7')",2
"('ィm7', 'ウ7(b9)', 'アm7', 'ゴ7sus4', 'グM7', 'ェm7(b5)')",2
"('ウ7(b9)', 'アm7', 'ゴ7sus4', 'グM7', 'ェm7(b5)', 'ィ7/F#')",2
"('アm7', 'ゴ7sus4', 'グM7', 'ェm7(b5)', 'ィ7/F#', 'ウm7')",2
"('ゴ7sus4', 'グM7', 'ェm7(b5)', 'ィ7/F#', 'ウm7', 'ゴm7')",2
"('グM7', 'ェm7(b5)', 'ィ7/F#', 'ウm7', 'ゴm7', 'グ7sus4')",2
"('コM7', 'コmM7', 'ィm7', 'ウ7(b9)', 'アm7', 'ゴ7sus4', 'グM7')",2
"('コmM7', 'ィm7', 'ウ7(b9)', 'アm7', 'ゴ7sus4', 'グM7', 'ェm7(b5)')",2
"('ィm7', 'ウ7(b9)', 'アm7', 'ゴ7sus4', 'グM7', 'ェm7(b5)', 'ィ7/F#')",2
"('ウ7(b9)', 'アm7', 'ゴ7sus4', 'グM7', 'ェm7(b5)', 'ィ7/F#', 'ウm7')",2
"('アm7', 'ゴ7sus4', 'グM7', 'ェm7(b5)', 'ィ7/F#', 'ウm7', 'ゴm7')",2
"('ゴ7sus4', 'グM7', 'ェm7(b5)', 'ィ7/F#', 'ウm7', 'ゴm7', 'グ7sus4')",2
"('コM7', 'コmM7', 'ィm7', 'ウ7(b9)', 'アm7', 'ゴ7sus4', 'グM7', 'ェm7(b5)')",2
"('コmM7', 'ィm7', 'ウ7(b9)', 'アm7', 'ゴ7sus4', 'グM7', 'ェm7(b5)', 'ィ7/F#')",2
"('ィm7', 'ウ7(b9)', 'アm7', 'ゴ7sus4', 'グM7', 'ェm7(b5)', 'ィ7/F#', 'ウm7')",2
"('ウ7(b9)', 'アm7', 'ゴ7sus4', 'グM7', 'ェm7(b5)', 'ィ7/F#', 'ウm7', 'ゴm7')",2
"('アm7', 'ゴ7sus4', 'グM7', 'ェm7(b5)', 'ィ7/F#', 'ウm7', 'ゴm7', 'グ7sus4')",2
