Pattern,Count
"('ウm7', 'グ', 'グ7(b13)', 'コM7')",2
"('グ', 'グ7(b13)', 'コM7', 'ィm7(b5)')",2
"('グ7(b13)', 'コM7', 'ィm7(b5)', 'ウ7(b13)')",2
"('アm7', 'コmM7', 'グM7/Bb', 'Adim7')",2
"('コmM7', 'グM7/Bb', 'Adim7', 'アm11')",2
"('グM7/Bb', 'Adim7', 'アm11', 'ゴ7sus4')",2
"('Daug/E', 'ウ7sus4', 'ウ7/Db', 'Cm7(b5)')",2
"('ウ7sus4', 'ウ7/Db', 'Cm7(b5)', 'ゴ/B')",2
"('ウ7/Db', 'Cm7(b5)', 'ゴ/B', 'ィm7')",2
"('Cm7(b5)', 'ゴ/B', 'ィm7', 'ウ7sus4')",2
"('ゴ/B', 'ィm7', 'ウ7sus4', 'ウ7')",2
"('ィm7', 'ウ7sus4', 'ウ7', 'アm7')",2
"('ウm7', 'グ', 'グ7(b13)', 'コM7', 'ィm7(b5)')",2
"('グ', 'グ7(b13)', 'コM7', 'ィm7(b5)', 'ウ7(b13)')",2
"('アm7', 'コmM7', 'グM7/Bb', 'Adim7', 'アm11')",2
"('コmM7', 'グM7/Bb', 'Adim7', 'アm11', 'ゴ7sus4')",2
"('Daug/E', 'ウ7sus4', 'ウ7/Db', 'Cm7(b5)', 'ゴ/B')",2
"('ウ7sus4', 'ウ7/Db', 'Cm7(b5)', 'ゴ/B', 'ィm7')",2
"('ウ7/Db', 'Cm7(b5)', 'ゴ/B', 'ィm7', 'ウ7sus4')",2
"('Cm7(b5)', 'ゴ/B', 'ィm7', 'ウ7sus4', 'ウ7')",2
"('ゴ/B', 'ィm7', 'ウ7sus4', 'ウ7', 'アm7')",2
"('ウm7', 'グ', 'グ7(b13)', 'コM7', 'ィm7(b5)', 'ウ7(b13)')",2
"('アm7', 'コmM7', 'グM7/Bb', 'Adim7', 'アm11', 'ゴ7sus4')",2
"('Daug/E', 'ウ7sus4', 'ウ7/Db', 'Cm7(b5)', 'ゴ/B', 'ィm7')",2
"('ウ7sus4', 'ウ7/Db', 'Cm7(b5)', 'ゴ/B', 'ィm7', 'ウ7sus4')",2
"('ウ7/Db', 'Cm7(b5)', 'ゴ/B', 'ィm7', 'ウ7sus4', 'ウ7')",2
"('Cm7(b5)', 'ゴ/B', 'ィm7', 'ウ7sus4', 'ウ7', 'アm7')",2
"('Daug/E', 'ウ7sus4', 'ウ7/Db', 'Cm7(b5)', 'ゴ/B', 'ィm7', 'ウ7sus4')",2
"('ウ7sus4', 'ウ7/Db', 'Cm7(b5)', 'ゴ/B', 'ィm7', 'ウ7sus4', 'ウ7')",2
"('ウ7/Db', 'Cm7(b5)', 'ゴ/B', 'ィm7', 'ウ7sus4', 'ウ7', 'アm7')",2
"('Daug/E', 'ウ7sus4', 'ウ7/Db', 'Cm7(b5)', 'ゴ/B', 'ィm7', 'ウ7sus4', 'ウ7')",2
"('ウ7sus4', 'ウ7/Db', 'Cm7(b5)', 'ゴ/B', 'ィm7', 'ウ7sus4', 'ウ7', 'アm7')",2
