,제목,링크,조회수,업로드
0,"🔥혼자 듣기 아쉬운 노래, Stellar - Ashes (가사/해석/번역/lyrics)",https://www.youtube.com/watch?v=EBMwWyAPtmI&pp=ygUG65WM7J6J,4140만회,3년 전
1,"🌟 늦게 들을수록 당신만 손해 : The Kid LAROI, Justin Bieber - Stay [가사/해석/lyrics]",https://www.youtube.com/watch?v=Ec7TN_11az8&pp=ygUG65WM7J6J,3373만회,2년 전
2,이 노래는 진짜 전설이다...🔥🥹 : Charlie Puth (찰리 푸스) - Dangerously [가사/해석/lyrics],https://www.youtube.com/watch?v=3ERtNZqh1XA&pp=ygUG65WM7J6J,3326만회,1년 전
3,🔥불 지르기 쌉가능한 노래🔥 AJR - Burn The House Down [가사/해석/lyrics],https://www.youtube.com/watch?v=oLVgwsevkco&pp=ygUG65WM7J6J,3172만회,3년 전
4,🔥탑건: 매버릭OST| 탑건 해변가 그 노래 : OneRepublic - I Ain’t Worried [가사/해석/번역/lyrics],https://www.youtube.com/watch?v=INak4ORss18&pp=ygUG65WM7J6J,2512만회,1년 전
5,천국에서 틀어줄 것 같은 노래 👼🏻 Justin Bieber - Off My Face [가사/해석/lyrics],https://www.youtube.com/watch?v=rikm9eS6JAE&pp=ygUG65WM7J6J,2209만회,2년 전
6,💜당신의 취향을 저격할 노래 : GAYLE - abcdefu [가사/해석/번역/lyrics],https://www.youtube.com/watch?v=xUhjyZ53cz0&pp=ygUG65WM7J6J,2010만회,2년 전
7,이 장면은 진짜 전설이다…,https://www.youtube.com/shorts/rhrGnbCC0-0,333만회,1년 전
8,🔥마블덕후들 오열할 영상 : Sia - Unstoppable [가사/해석/한국어/lyrics],https://www.youtube.com/watch?v=kIjUfXfJjGU&pp=ygUG65WM7J6J,218만회,2년 전
9,🔥해외에서 난리난 화제의 그 애니 OST : Kenshi Yonezu - KICK BACK [가사/해석/번역/lyrics],https://www.youtube.com/watch?v=uEC3zTHvVhA&pp=ygUG65WM7J6J,443만회,1년 전
10,🎻천재라는 소리가 절로 나오는 띵곡 : AJR - World’s Smallest Violin [가사/해석/lyrics],https://www.youtube.com/watch?v=_y-yZXJiMf8&pp=ygUG65WM7J6J,1343만회,1년 전
11,가슴이 웅장해지는 개띵곡🌑🔥 Unlike Pluto - Everything Black [가사/해석/lyrics],https://www.youtube.com/watch?v=keeVus2Isk4&pp=ygUG65WM7J6J,384만회,3년 전
12,"선곡 맛집, 애플 광고 음악 : AJR - Bang! [가사 해석/lyrics]",https://www.youtube.com/watch?v=ITgIP2OW2kw&pp=ygUG65WM7J6J,157만회,3년 전
13,"🚨비트부터 미쳤다, X Ambassadors - HEY CHILD (가사/해석/번역/lyrics)",https://www.youtube.com/watch?v=ZaTVVDLWjCY&pp=ygUG65WM7J6J,1940만회,3년 전
14,🔥 ㅈㄴ강해지는 노래 : Kelly Clarkson - Stronger [가사/해석/한국어/lyrics],https://www.youtube.com/watch?v=KmnxtDu5TOE&pp=ygUG65WM7J6J,1929만회,2년 전
15,가사 존나 슬프네...🥹 : Bruno Mars - When I Was Your Man [가사/해석/lyrics],https://www.youtube.com/watch?v=b3KUDuVJfn8&pp=ygUG65WM7J6J,1922만회,1년 전
16,🔥눈물 나게 좋은 도입부 : BoyWithUke - Toxic [가사/해석/번역/lyrics],https://www.youtube.com/watch?v=MNTarTRNA4o&pp=ygUG65WM7J6J,157만회,2년 전
17,"💖망가져야 한다면 예쁘게 망가질래, Chelsea Collins - 07 Britney (가사/해석/번역/lyrics)",https://www.youtube.com/watch?v=fTAD5lqMU18&pp=ygUG65WM7J6J,167만회,3년 전
18,행복해지는 엘리멘탈 OST🔥💦: Lauv - Steal The Show [가사/해석/lyrics],https://www.youtube.com/watch?v=AJsvGtGgI6M&pp=ygUG65WM7J6J,86만회,9개월 전
19,💰2025 새해 첫 곡 당첨💰LISA - MONEY [가사/해석/lyrics],https://www.youtube.com/watch?v=J7f0_ql6YJo&pp=ygUG65WM7J6J,291만회,2년 전
20,🍋유튜브 제이팝 조회수 1위 전설의 노래 : Kenshi Yonezu - Lemon [가사/해석/번역/lyrics],https://www.youtube.com/watch?v=p0ku3_rK6dE&pp=ygUG65WM7J6J,172만회,1년 전
21,🔥롤 아케인 OST | 팀을 승리로 이끌 노래 : Imagine Dragons & JID - Enemy [가사/해석/번역/lyrics],https://www.youtube.com/watch?v=Eb9KHFx5p34&pp=ygUG65WM7J6J,356만회,2년 전
22,"🔥모두가 알았으면 하는 인생 띵곡, Jagwar Twin - Happy Face (가사/해석/번역/lyrics)",https://www.youtube.com/watch?v=SJPxpnI5EGQ&pp=ygUG65WM7J6J,1883만회,3년 전
23,그 유명한 담배 무대,https://www.youtube.com/shorts/RaL0KOrrk1I,1819만회,1년 전
24,"𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 질리도록 듣는 히트곡엔 그 이유가 있다𝐅𝐞𝐚𝐭. 𝐋𝐚𝐮𝐯, 𝐋𝐚𝐧𝐲, 𝐇𝐨𝐧𝐧𝐞, 𝐤𝐞𝐬𝐡𝐢, 𝐏𝐞𝐝𝐞𝐫 𝐄𝐥𝐢𝐚𝐬, 𝐓𝐫𝐨𝐲𝐞 𝐒𝐢𝐯𝐚𝐧, 𝐂𝐡𝐚𝐫𝐥𝐢𝐞 𝐏𝐮𝐭𝐡",https://www.youtube.com/watch?v=x6i3_LfeTjY&pp=ygUG65WM7J6J,1772만회,9개월 전
25,어쩌면 영화보다 더 유명한 전설의 OST : RADWIMPS - Nandemonaiya(아무것도 아니야) [가사/해석/번역/lyrics],https://www.youtube.com/watch?v=ok5J5vi-_qo&pp=ygUG65WM7J6J,1745만회,1년 전
26,"🔪빌런이 끌리는 이유, Valerie Broussard - Killer (가사/해석/번역/lyrics)",https://www.youtube.com/watch?v=HBuyabH6F-0&pp=ygUG65WM7J6J,1723만회,3년 전
27,"⭐️우리에게 영원히 기억될 “명곡"" : Avicii - The Nights [가사/해석/lyrics]",https://www.youtube.com/watch?v=yG57Xggm92A&pp=ygUG65WM7J6J,1705만회,1년 전
28,"💘인싸들 사이에서 난리난 띵곡, dhruv - double take [가사/해석/번역/lyrics]",https://www.youtube.com/watch?v=BkgSM8Bqo2U&pp=ygUG65WM7J6J,1702만회,2년 전
29,"🔥난 싸이코거든, Mia Rodriguez - Psycho (가사/해석/번역/lyrics)",https://www.youtube.com/watch?v=huTVUjiQr2c&pp=ygUG65WM7J6J,1619만회,3년 전
30,🚨챌린지로 역주행중인 선장의 노래 : Nathan Evans - Wellerman (Sea Shanty) [가사/해석/번역/lyrics],https://www.youtube.com/watch?v=INHZQf_1FAA&pp=ygUG65WM7J6J,1608만회,1년 전
31,❤️‍🩹너무 좋아서 눈물나는 레전드곡 : Charlie Puth (찰리푸스) - That’s Hilarious [가사/해석/lyrics],https://www.youtube.com/watch?v=MPP2Q9JBvbg&pp=ygUG65WM7J6J,1396만회,1년 전
32,눈물나는 띵곡 모르는 사람 있나? Slander - Love Is Gone (acoustic)  [가사/해석/lyrics],https://www.youtube.com/watch?v=34Tmi7gVzcE&pp=ygUG65WM7J6J,1396만회,3년 전
33,이렇게 매운 가사였어..?🥰 : 정국 (Jung Kook) ‘Seven (Explicit ver.) (feat. Latto)’ [가사/해석],https://www.youtube.com/watch?v=25ftfuu3jso&pp=ygUG65WM7J6J,329만회,8개월 전
