,제목,링크,조회수,업로드
0,[MV] IU(아이유) _ BBIBBI(삐삐),https://www.youtube.com/watch?v=nM0xDI5R50E&pp=ygUJ7JWE7J207Jyg,2.6억회,5년 전
1,[MV] IU(아이유) _ Palette(팔레트) (Feat. G-DRAGON),https://www.youtube.com/watch?v=d9IxdwEFk1c&pp=ygUJ7JWE7J207Jyg,1.9억회,6년 전
2,[MV] IU(아이유) _ eight(에잇) (Prod.&Feat. SUGA of BTS),https://www.youtube.com/watch?v=TgOu00Mf3kI&pp=ygUJ7JWE7J207Jyg,1.7억회,3년 전
3,[MV] IU(아이유) _ Blueming(블루밍),https://www.youtube.com/watch?v=D1PvIWdJ8xo&pp=ygUJ7JWE7J207Jyg,1.7억회,4년 전
4,[MV] IU(아이유) _ Celebrity,https://www.youtube.com/watch?v=0-q1KafFCLU&pp=ygUJ7JWE7J207Jyg,1.6억회,3년 전
5,"[MV] HIGH4, IU(하이포, 아이유) _ Not Spring, Love, or Cherry Blossoms(봄,사랑,벚꽃 말고)",https://www.youtube.com/watch?v=ouR4nn1G9r4&pp=ygUJ7JWE7J207Jyg,1.3억회,9년 전
6,Blueming (Blueming),https://www.youtube.com/watch?v=I0_ZXHzKysc&pp=ygUJ7JWE7J207Jyg,1.2억회,7년 전
7,LILAC (라일락),https://www.youtube.com/watch?v=04tYkKUPPv4&pp=ygUJ7JWE7J207Jyg,1억회,3년 전
8,[MV] IU(아이유) _ Through the Night(밤편지),https://www.youtube.com/watch?v=BzYnNdJhZQw&pp=ygUJ7JWE7J207Jyg,1억회,8년 전
9,[MV] IU(아이유)_LILAC(라일락),https://www.youtube.com/watch?v=v7bnOxV4jAc&pp=ygUJ7JWE7J207Jyg,1089만회,4년 전
10,eight (Prod. & Feat. SUGA of BTS) (에잇(Prod. & Feat. SUGA of BTS)),https://www.youtube.com/watch?v=5_IYVichXbA&pp=ygUJ7JWE7J207Jyg,142만회,2년 전
11,[MV] IU(아이유) _ Twenty-three(스물셋),https://www.youtube.com/watch?v=42Gtm4-Ax2U&pp=ygUJ7JWE7J207Jyg,238만회,13년 전
12,"[IU] Blueming Live Clip (2019 IU Tour Concert 'Love, poem')",https://www.youtube.com/watch?v=o_nxIQTM_B0&pp=ygUJ7JWE7J207Jyg,1212만회,3년 전
13,Celebrity (Celebrity),https://www.youtube.com/watch?v=ZThVobEtp_o&pp=ygUJ7JWE7J207Jyg,69만회,3년 전
14,Celebrity (Celebrity),https://www.youtube.com/watch?v=es6bbfAjk3I&pp=ygUJ7JWE7J207Jyg,819만회,2개월 전
15,strawberry moon (strawberry moon),https://www.youtube.com/watch?v=Kevp2lFKSOg&pp=ygUJ7JWE7J207Jyg,1억회,10년 전
16,"아이유(IU)의 킬링보이스를 라이브로! - 하루 끝, 너의 의미, 스물셋, 밤편지, 팔레트, 가을 아침, 삐삐, Blueming, 에잇, Coin, 라일락 ㅣ 딩고뮤직",https://www.youtube.com/watch?v=wDfqXR_5yyQ&pp=ygUJ7JWE7J207Jyg,1억회,12년 전
17,IU (아이유) _ Good Day (좋은 날) _ MV,https://www.youtube.com/watch?v=jeqdYqsrsA0&pp=ygUJ7JWE7J207Jyg,9991만회,6년 전
18,Through the Night (밤편지),https://www.youtube.com/watch?v=NnRjwEhFU70&pp=ygUJ7JWE7J207Jyg,819만회,12년 전
19,"[IU] '내 손을 잡아(Hold My Hand)' Live Clip (2019 IU Tour Concert 'Love, poem')",https://www.youtube.com/watch?v=3iM_06QeZi8&pp=ygUJ7JWE7J207Jyg,1254만회,2년 전
20,My sea (아이와 나의 바다),https://www.youtube.com/watch?v=TqIAndOnd74&pp=ygUJ7JWE7J207Jyg,1163만회,11개월 전
21,[IU] 'eight' Acoustic Ver. Live Clip,https://www.youtube.com/watch?v=tJM0yIbg8iQ&pp=ygUJ7JWE7J207Jyg,123만회,6년 전
22,IU 'Love wins all' MV,https://www.youtube.com/watch?v=JleoAppaxi0&pp=ygUJ7JWE7J207Jyg,388만회,5년 전
