,제목,링크,조회수,업로드
0,강제로 죽이고 고의트롤로 만드는 싸이코 카직스 탐방,https://www.youtube.com/watch?v=f9ZFr9LMpZA&pp=ygUJ7Lm07KeB7Iqk,29만회,3시간 전
1,[경고] 다큐 카직스의 공포,https://www.youtube.com/watch?v=PSrsDVl48FA&pp=ygUJ7Lm07KeB7Iqk,147만회,2일 전
2,고인물 끝판왕 '따봉 카직스',https://www.youtube.com/watch?v=uB69m7vw3eo&pp=ygUJ7Lm07KeB7Iqk,103만회,3일 전
3,카직스 10000판하면 생기는 일 ㅋㅋㅋㅋ #Shorts,https://www.youtube.com/shorts/umr1AZK3sW4,73만회,11일 전
4,중국 카직스 1위의 경이로움,https://www.youtube.com/watch?v=_-oczlAWQuc&pp=ygUJ7Lm07KeB7Iqk,407만회,3시간 전
5,[Drop The Champ] #2: 형제의 난 - 형뚜기 vs 동생냥이(feat.킬링벌's) - 리그 오브 레전드: 와일드 리프트,https://www.youtube.com/watch?v=zG1mtlQCbyk&pp=ygUJ7Lm07KeB7Iqk,1032만회,37분 전
6,★숙련도 550만점 국내 1위★ 프리시즌 1티어급 카직스의 끝판왕이 직접 왔다..! : 미니언고립 장인초대석 [테스터훈],https://www.youtube.com/watch?v=Co1YoOo4LIo&pp=ygUJ7Lm07KeB7Iqk,78만회,3시간 전
7,개열받는 월식 포킹 카직스,https://www.youtube.com/watch?v=D6RShcgLwUM&pp=ygUJ7Lm07KeB7Iqk,83만회,3일 전
8,"카직스 3성은 스킬이 바뀌는데 한번 보쉴? 순보카직스 (롤토체스, tft, 롤토체스시즌2)",https://www.youtube.com/watch?v=zTlENvpAG3o&pp=ygUJ7Lm07KeB7Iqk,145만회,1일 전
9,1티어 카직스 정글! 제가 한번 해보겠습니다 ㅎㅎ,https://www.youtube.com/watch?v=TvVXAzOPS94&pp=ygUJ7Lm07KeB7Iqk,35만회,3일 전
10,전설의 메뚜기 카직스 part 3 (완) / Legendary grasshopper Kha’Zix part 3 (Final),https://www.youtube.com/watch?v=WUZaoVwibfc&pp=ygUJ7Lm07KeB7Iqk,3.3만회,3일 전
11,발분 정복자 카직스 #shorts,https://www.youtube.com/shorts/2fV5K39DfN4,11만회,3일 전
12,[롤] 사지를 싹둑싹둑 썰었던 카직스의 삶을 알아보자,https://www.youtube.com/watch?v=SGrTkFuoV_g&pp=ygUJ7Lm07KeB7Iqk,30만회,14시간 전
13,카직스 장인 달카의 6단 점프!(Khazix king 달카's 6jump),https://www.youtube.com/watch?v=Ldq5yySEnaA&pp=ygUJ7Lm07KeB7Iqk,98만회,3일 전
14,??? : 저는 다시는 카직스 진화를 하지 않을 것 입니다,https://www.youtube.com/watch?v=4uDPG-FgmSs&pp=ygUJ7Lm07KeB7Iqk,225만회,1년 전
15,[LOL] 프레이 URF 우르프모드 카직스 : 어딜 보시죠? 그건 제 잔상입니다ㅋㅋㅋ_200606 PraY Kha’Zix,https://www.youtube.com/watch?v=bdLVMJ9lbRk&pp=ygUJ7Lm07KeB7Iqk,117만회,2일 전
16,진짜 서로 들리는 거 아니냐고ㅋㅋㅋ 오너의 정글 카직스 [T1 Stream Highlight],https://www.youtube.com/watch?v=dMIxdWXqexg&pp=ygUJ7Lm07KeB7Iqk,57만회,1시간 전
17,[LOL] 프레이 URF 카직스 : 카직스 은신 벨트 조합 개꿀잼ㅋㅋㅋ,https://www.youtube.com/watch?v=IM9Q5xu7YUk&pp=ygUJ7Lm07KeB7Iqk,31만회,3일 전
18,[LOL] 프레이 URF 카직스 : 벨트? ㄴㄴ 돌풍 카직스! 어딜보시는거죠? 그건 제 잔상입니다만?,https://www.youtube.com/watch?v=mBzmVk7eisI&pp=ygUJ7Lm07KeB7Iqk,199만회,2일 전
19,이게 죽어???? 개떡상한 카직스 ㄷㄷ,https://www.youtube.com/watch?v=ZoKl7pe9jI8&pp=ygUJ7Lm07KeB7Iqk,238만회,5일 전
20,구마유시 카직스 관전하는 오너,https://www.youtube.com/shorts/TlWPOx2G5iY,77만회,4일 전
21,렝가와 카직스 라이벌 컨셉에 담긴 라이엇의 재치 있는 진심 #shorts,https://www.youtube.com/shorts/Ju0HCbwxyHU,4.8천회,2주 전
22,바짝 익은 카직스 튀김 [리메이크 아우솔 #Shorts],https://www.youtube.com/shorts/WVvw4TCyFh8,118만회,1일 전
23,카직스는 렝가의 눈을 앗아갔고 렝가로 카직스 잡으면 이스터에그가 발동되는 이유 | 롤스토리 | 렝가 | 미요토리,https://www.youtube.com/watch?v=a8IQWjG4hbY&pp=ygUJ7Lm07KeB7Iqk,185만회,22시간 전
