,제목,링크,조회수,업로드
0,[LIVE] 대한민국 24시간 뉴스채널 YTN,https://www.youtube.com/watch?v=FJfwehhzIhw&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,중,3년 전
1,[한국경제TV LIVE] No.1 경제/증권 채널,https://www.youtube.com/watch?v=NJUjU9ALj4A&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,중,스트리밍 시간: 1년 전
2,[생방송] 24시간 현장을 전합니다 / 연합뉴스TV  (YonhapnewsTV),https://www.youtube.com/watch?v=6QZ_qc75ihU&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,중,1년 전
3,[라이브] 대한민국 대표 재테크 채널 매일경제TV,https://www.youtube.com/watch?v=s9xL1DpBsfQ&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,중,1년 전
4,배우 송유정 사망…가족끼리 조용한 장례 / 연합뉴스 (Yonhapnews),https://www.youtube.com/watch?v=QtKvnOLxrYo&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,1531만회,스트리밍 시간: 5개월 전
5,"[에디터픽] ""20년 전 일본에 나타난 현상""..한국 경제 재현 '충격' / YTN",https://www.youtube.com/watch?v=MnWLrPhrGmQ&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,531만회,2년 전
6,"일본 경제의 침몰, 한국 경제는 달랐다. [신과 대화: 김현철 서울대 국제대학원 원장]",https://www.youtube.com/watch?v=PU9Vvf9W-4s&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,299만회,3년 전
7,[100분토론] 청년들이여 앞으로도 낳지 마라!,https://www.youtube.com/watch?v=Eq5ac_zFwdc&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,264만회,10개월 전
8,[LIVE] 부자되는 좋은습관 MTN 머니투데이방송 (뉴스&증권 경제방송),https://www.youtube.com/watch?v=WM-F0dc9B9o&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,중,9개월 전
9,[풀버전] 시한폭탄 PF 대출 - 빚더미에 눌린 한국 경제 - 스트레이트 232회 (23.11.12),https://www.youtube.com/watch?v=q9K62txrsv0&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,3.3천회,5개월 전
10,"일본의 한국 경제보복, 2년 후 지금",https://www.youtube.com/watch?v=k1RmAkCVvnc&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,6.6천회,8년 전
11,"[다큐 인사이트] 한국 경제의 거인, 이건희 회장의 생애 그 빛과 그림자 | “이건희, 거인의 유산” (KBS 201029 방송)",https://www.youtube.com/watch?v=tTZoKS424PA&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,3.5천회,1년 전
12,"치킨집 절대 차리지 마라?!  중산층의 블랙홀, 자영업의 미래는? [명견만리 KBS 20160610 방송]",https://www.youtube.com/watch?v=SQozP7P5Hv0&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,3.5천회,1개월 전
13,한국 경제 심각합니다. 집 한 채라도 있다면 앞으로 이렇게 하세요  (김영익 경제전문가 서강대학교 교수 풀버전),https://www.youtube.com/watch?v=8hDgQe6fZk4&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,1.4천회,1년 전
14,"""이런 나라가 없다""...韓 경제, 터지기 일보 직전 [Y녹취록] / YTN",https://www.youtube.com/watch?v=N1KXpxpVq-8&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,226만회,5개월 전
15,"[팩트체크] '한국 경제, 5년 뒤 일본 추월' 정말일까?",https://www.youtube.com/watch?v=g-9xoNOBhiQ&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,220만회,11개월 전
16,[100분토론] 한국 경제의 닥터둠 주진형이 본 부동산 문제의 진실!,https://www.youtube.com/shorts/3h0h07pXfE4,190만회,1년 전
17,[풀버전] 알리·테무의 공습 - 혁신 엔진 꺼지는 한국 경제  - 스트레이트 245회 (24.03.10),https://www.youtube.com/watch?v=EL9znnS2vmA&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,177만회,2개월 전
18,"경기 침체, 기로에 서있는 한국경제",https://www.youtube.com/watch?v=O3EkSobPNuw&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,162만회,1년 전
19,"[뉴스라이더] '시한폭탄'된 가계부채, 서민 경제 위기...대책 없나? / YTN",https://www.youtube.com/watch?v=KMdn0pNNVLI&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,145만회,10개월 전
20,한국 경제 위험합니다. 제발 한번만 제 얘기를 들어주세요 (최용식 21세기경제학연구소 소장),https://www.youtube.com/watch?v=somofBRBnfQ&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,143만회,2개월 전
21,美서 날아온 공포의 시그널...한국 경제 어쩌나 / YTN,https://www.youtube.com/watch?v=EgCZ55n2n-s&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,124만회,1년 전
22,"""답이 없어요 미쳐요 진짜"" 시공사 부도에 '풍비박산' [뉴스.zip/MBC뉴스]",https://www.youtube.com/watch?v=wPCTT8M_f0Q&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,121만회,1년 전
23,요즘 한국경제 상황과 소름돋게 비슷하다는 버블경제 시절 일본 ㅎㄷㄷ.....,https://www.youtube.com/watch?v=tMPOKL5B_bU&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,105만회,3년 전
24,한국이 솟아날 생존전략은? f.서울대 국제대학원 김현철 원장 [신과함께],https://www.youtube.com/watch?v=n9mC0WjR0G8&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,102만회,스트리밍 시간: 1년 전
25,[자막뉴스] 고소득층까지 단단히 잠궜다...자영업 '무덤' 위기 / YTN,https://www.youtube.com/watch?v=scZFiN5ncYQ&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,102만회,1년 전
26,[뉴스모아] 'S공포'가 다가온다…한국 경제 '비상' 조짐,https://www.youtube.com/watch?v=W5nGTtY_kVM&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,98만회,1년 전
27,전성기 끝? 큰 거 온다! 한국경제 진짜 위기!,https://www.youtube.com/watch?v=pyKrBuOOJTA&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,94만회,1개월 전
28,IMF OECD 발표 한국 경제성장률 압도적 세계1위 l  이 시국에 혼자 너무 잘 나가는 한국 경제,https://www.youtube.com/watch?v=4RA7ZcbIem8&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,88만회,1년 전
29,"[에디터픽] ""한국 경제 기적 쓸어버릴 것""..한국 핵무장론에 미국 전문가 '살벌한 경고' / YTN",https://www.youtube.com/watch?v=ynhTbxlFucI&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,81만회,스트리밍 시간: 1년 전
30,한국 경제가 미중 경쟁 속에서 살아나는 법 f.서울대학교 국제대학원 김현철 원장 [신과대화],https://www.youtube.com/watch?v=ZiBh8MjZ-WA&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,72만회,2년 전
31,[자막뉴스] 코앞에 온 '시한폭탄' ...한국경제 커지는 위기감 / YTN,https://www.youtube.com/watch?v=Zg0Lo5zk7xI&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,70만회,1년 전
32,[MBC 탐사기획 스트레이트 245회] 알리·테무의 공습 - 혁신 엔진 꺼지는 한국 경제 (24.03.10),https://www.youtube.com/watch?v=qni4MwE8WvQ&pp=ygUN7ZWc6rWtIOqyveygnA%3D%3D,69만회,4개월 전
