,곡,가수,링크,앨범
0,나는 아픈 건 딱 질색이니까,(여자)아이들,https://music.youtube.com/watch?v=vBJVWOOsB4A&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,2
1,첫 만남은 계획대로 되지 않아,TWS,https://music.youtube.com/watch?v=bKeU99EygzY&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,TWS : 1st Mini Album 'Sparkling Blue'
2,EASY,LE SSERAFIM,https://music.youtube.com/watch?v=Zj9-RiEf4Og&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,EASY
3,밤양갱,비비 (BIBI),https://music.youtube.com/watch?v=cvQQEs4TDGM&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,밤양갱
4,Smart,LE SSERAFIM,https://music.youtube.com/watch?v=VwJggqvxGUQ&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,EASY
5,Bling-Bang-Bang-Born,Creepy Nuts,https://music.youtube.com/watch?v=Jg73p9udbAQ&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Bling-Bang-Bang-Born
6,To. X,TAEYEON,https://music.youtube.com/watch?v=UTOxChG5Ucc&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,To. X - The 5th Mini Album
7,Drama,aespa,https://music.youtube.com/watch?v=S3Z6N7U7f6I&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Drama - The 4th Mini Album
8,MANIAC,VIVIZ (비비지),https://music.youtube.com/watch?v=BQO0jrOSTHw&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,The 4th Mini Album 'VERSUS'
9,Love wins all,아이유,https://music.youtube.com/watch?v=ZqJ7bfgacSA&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Love wins all
10,Beautiful Things,Benson Boone,https://music.youtube.com/watch?v=T4l33dsNwVk&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Beautiful Things
11,Perfect Night,LE SSERAFIM,https://music.youtube.com/watch?v=Gqfq_8jPw8Q&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Perfect Night
12,홀씨,아이유,https://music.youtube.com/watch?v=vXm52ToV8_c&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,The Winning
13,I AM,IVE (아이브),https://music.youtube.com/watch?v=MqcFHCNXiok&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,I've IVE
