KEY,Ⅰ,#Ⅰ,ⅱ,#ⅱ,ⅲ,Ⅳ,#Ⅳ,Ⅴ,#Ⅴ,ⅵ,#ⅵ,ⅶ
C_Key,C,"C#,Db",D,"D#,Eb",E,F,"F#,Gb",G,"G#,Ab",A,"A#,Bb",B
F_Key,F,"F#,Gb",G,"G#,Ab",A,"A#,Bb",B,C,"C#,Db",D,"D#,Eb",E
Bb_Key,"Bb,A#",B,C,"Db,C#",D,"Eb,D#",E,F,"Gb,F#",G,"Ab,G#",A
Eb_Key,"Eb,D#",E,F,"Gb,F#",G,"Ab,G#",A,"Bb,A#",B,C,"Db,C#",D
Ab_Key,"Ab,G#",A,"Bb,A#",B,C,"Db,C#",D,"Eb,D#",E,F,"Gb,F#",G
Db_Key,"Db,C#",D,"Eb,D#",E,F,"Gb,F#",G,"Ab,G#",A,"Bb,A#",B,C
Gb_Key,"Gb,F#",G,"Ab,G#",A,"Bb,A#",B,C,"Db,C#",D,"Eb,D#",E,F
B_Key,B,C,"C#,Db",D,"D#,Eb",E,F,"F#,Gb",G,"G#,Ab",A,"A#,Bb"
E_Key,E,F,"F#,Gb",G,"G#,Ab",A,"A#,Bb",B,C,"C#,Db",D,"D#,Eb"
A_Key,A,"A#,Bb",B,C,"C#,Db",D,"D#,Eb",E,F,"F#,Gb",G,"G#,Ab"
D_Key,D,"D#,Eb",E,F,"F#,Gb",G,"G#,Ab",A,"A#,Bb",B,C,"C#,Db"
G_Key,G,"G#,Ab",A,"A#,Bb",B,C,"C#,Db",D,"D#,Eb",E,F,"F#,Gb"
