시군구명,단속구분,단속년월,단속동,단속건수,단속원금
장안구청,보행,2024-01,송죽동,1,40000
장안구청,보행,2024-01,송죽동,1,40000
장안구청,보행,2024-01,송죽동,1,40000
장안구청,보행,2024-01,송죽동,1,40000
장안구청,보행,2024-01,연무동,1,40000
장안구청,보행,2024-01,연무동,1,40000
장안구청,보행,2024-01,영화동,1,40000
장안구청,보행,2024-01,영화동,1,40000
장안구청,보행,2024-01,영화동,1,40000
장안구청,보행,2024-01,영화동,1,40000
장안구청,보행,2024-01,율전동,1,40000
장안구청,보행,2024-01,정자동,1,40000
장안구청,보행,2024-01,정자동,4,170000
장안구청,보행,2024-01,정자동,1,0
장안구청,보행,2024-01,정자동,2,80000
장안구청,보행,2024-01,정자동,2,40000
장안구청,보행,2024-01,정자동,2,90000
장안구청,보행,2024-01,정자동,1,40000
장안구청,보행,2024-01,조원동,1,40000
장안구청,보행,2024-01,조원동,1,40000
장안구청,보행,2024-01,조원동,1,40000
장안구청,보행,2024-01,조원동,1,40000
장안구청,보행,2024-01,조원동,1,40000
장안구청,보행,2024-01,조원동,1,40000
장안구청,보행,2024-01,조원동,1,40000
장안구청,보행,2024-01,조원동,2,80000
장안구청,보행,2024-01,천천동,1,40000
장안구청,보행,2024-01,파장동,2,80000
장안구청,주행형,2024-01,북수동,1,40000
장안구청,고정형,2024-01,상광교동,7,280000
장안구청,고정형,2024-01,송죽동,2,80000
장안구청,주행형,2024-01,송죽동,4,160000
장안구청,주행형,2024-01,송죽동,12,480000
장안구청,주행형,2024-01,송죽동,6,240000
장안구청,주행형,2024-01,송죽동,5,210000
장안구청,주행형,2024-01,송죽동,2,80000
장안구청,주행형,2024-01,송죽동,1,40000
장안구청,주행형,2024-01,송죽동,1,40000
장안구청,주행형,2024-01,송죽동,3,130000
장안구청,주행형,2024-01,송죽동,23,930000
장안구청,주행형,2024-01,송죽동,1,40000
장안구청,주행형,2024-01,송죽동,4,170000
장안구청,고정형,2024-01,송죽동,4,480000
장안구청,주민신고제,2024-01,송죽동,1,90000
장안구청,국민신문고,2024-01,송죽동,3,120000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,3,120000
장안구청,국민신문고,2024-01,송죽동,13,530000
장안구청,국민신문고,2024-01,송죽동,3,120000
장안구청,고정형,2024-01,송죽동,30,1200000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,1,50000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,1,80000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,2,80000
장안구청,국민신문고,2024-01,송죽동,4,160000
장안구청,국민신문고,2024-01,송죽동,2,80000
장안구청,국민신문고,2024-01,송죽동,2,80000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,2,80000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,3,120000
장안구청,국민신문고,2024-01,송죽동,2,120000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,2,160000
장안구청,국민신문고,2024-01,송죽동,2,80000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,3,120000
장안구청,국민신문고,2024-01,송죽동,2,80000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,2,80000
장안구청,국민신문고,2024-01,송죽동,2,160000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,3,120000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,2,80000
장안구청,국민신문고,2024-01,송죽동,1,40000
장안구청,국민신문고,2024-01,송죽동,1,80000
장안구청,국민신문고,2024-01,송죽동,1,80000
장안구청,국민신문고,2024-01,송죽동,2,80000
장안구청,국민신문고,2024-01,송죽동,2,160000
장안구청,국민신문고,2024-01,송죽동,2,160000
장안구청,국민신문고,2024-01,송죽동,1,40000
