시군구명,단속구분,단속년월,단속동,단속건수,단속원금
장안구청,보행,2022-01,송죽동,1,40000
장안구청,보행,2022-01,송죽동,1,40000
장안구청,보행,2022-01,연무동,1,40000
장안구청,보행,2022-01,연무동,2,40000
장안구청,보행,2022-01,연무동,1,40000
장안구청,보행,2022-01,연무동,1,40000
장안구청,보행,2022-01,영화동,2,40000
장안구청,보행,2022-01,영화동,1,40000
장안구청,보행,2022-01,영화동,1,40000
장안구청,보행,2022-01,영화동,1,40000
장안구청,보행,2022-01,영화동,3,80000
장안구청,보행,2022-01,영화동,1,40000
장안구청,보행,2022-01,영화동,1,40000
장안구청,보행,2022-01,영화동,2,80000
장안구청,보행,2022-01,영화동,1,40000
장안구청,보행,2022-01,영화동,2,80000
장안구청,보행,2022-01,영화동,1,40000
장안구청,보행,2022-01,이목동,1,40000
장안구청,보행,2022-01,이목동,1,40000
장안구청,보행,2022-01,이목동,3,120000
장안구청,보행,2022-01,이목동,2,80000
장안구청,보행,2022-01,이목동,1,40000
장안구청,보행,2022-01,정자동,1,40000
장안구청,보행,2022-01,정자동,1,40000
장안구청,보행,2022-01,정자동,2,80000
장안구청,보행,2022-01,정자동,1,130000
장안구청,보행,2022-01,정자동,1,40000
장안구청,보행,2022-01,조원동,1,40000
장안구청,보행,2022-01,조원동,2,80000
장안구청,보행,2022-01,조원동,1,40000
장안구청,보행,2022-01,조원동,1,40000
장안구청,보행,2022-01,조원동,1,40000
장안구청,보행,2022-01,조원동,1,40000
장안구청,보행,2022-01,조원동,1,40000
장안구청,보행,2022-01,조원동,1,40000
장안구청,보행,2022-01,조원동,1,40000
장안구청,보행,2022-01,파장동,1,40000
장안구청,보행,2022-01,파장동,1,40000
장안구청,보행,2022-01,파장동,1,40000
장안구청,보행,2022-01,파장동,2,40000
장안구청,보행,2022-01,화서동,1,40000
장안구청,보행,2022-01,화서동,1,50000
장안구청,고정형,2022-01,상광교동,16,640000
장안구청,주행형,2022-01,상광교동,1,40000
장안구청,고정형,2022-01,송죽동,3,120000
장안구청,주행형,2022-01,송죽동,3,200000
장안구청,주행형,2022-01,송죽동,2,80000
장안구청,주행형,2022-01,송죽동,1,40000
장안구청,주행형,2022-01,송죽동,1,40000
장안구청,주행형,2022-01,송죽동,12,480000
장안구청,주행형,2022-01,송죽동,52,1840000
장안구청,주행형,2022-01,송죽동,2,40000
장안구청,주행형,2022-01,송죽동,8,320000
장안구청,주행형,2022-01,송죽동,2,80000
장안구청,주행형,2022-01,송죽동,4,160000
장안구청,주행형,2022-01,송죽동,4,160000
장안구청,주행형,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,2,80000
장안구청,국민신문고,2022-01,송죽동,4,170000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,2,80000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,1,80000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,4,160000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,1,80000
장안구청,국민신문고,2022-01,송죽동,2,80000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,1,80000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,1,80000
장안구청,국민신문고,2022-01,송죽동,1,80000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,3,240000
장안구청,국민신문고,2022-01,송죽동,3,80000
장안구청,국민신문고,2022-01,송죽동,3,240000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,2,40000
장안구청,국민신문고,2022-01,송죽동,16,1200000
장안구청,국민신문고,2022-01,송죽동,4,160000
장안구청,국민신문고,2022-01,송죽동,2,80000
장안구청,국민신문고,2022-01,송죽동,3,160000
장안구청,국민신문고,2022-01,송죽동,2,80000
장안구청,국민신문고,2022-01,송죽동,20,1440000
장안구청,국민신문고,2022-01,송죽동,8,520000
장안구청,국민신문고,2022-01,송죽동,2,130000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,8,330000
장안구청,국민신문고,2022-01,송죽동,1,80000
장안구청,국민신문고,2022-01,송죽동,2,160000
장안구청,국민신문고,2022-01,송죽동,1,80000
장안구청,국민신문고,2022-01,송죽동,1,80000
장안구청,국민신문고,2022-01,송죽동,1,80000
장안구청,국민신문고,2022-01,송죽동,1,80000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,1,80000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,3,120000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,2,80000
장안구청,국민신문고,2022-01,송죽동,13,840000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,3,120000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,국민신문고,2022-01,송죽동,1,40000
장안구청,고정형,2022-01,송죽동,47,2050000
장안구청,고정형,2022-01,송죽동,1,40000
장안구청,보행,2022-01,송죽동,1,80000
장안구청,보행,2022-01,송죽동,1,80000
장안구청,고정형,2022-01,송죽동,77,2530000
장안구청,보행,2022-01,송죽동,3,160000
장안구청,보행,2022-01,송죽동,8,400000
장안구청,보행,2022-01,송죽동,1,50000
장안구청,고정형,2022-01,송죽동,55,2220000
장안구청,고정형,2022-01,송죽동,8,320000
장안구청,주행형,2022-01,송죽동,4,250000
장안구청,주행형,2022-01,송죽동,2,80000
장안구청,주행형,2022-01,송죽동,1,40000
장안구청,고정형,2022-01,송죽동,47,1680000
장안구청,주행형,2022-01,연무동,2,80000
장안구청,주행형,2022-01,연무동,2,90000
