시군구명,단속구분,단속년월,단속동,단속건수,단속원금
장안구청,보행,2023-01,송죽동,1,40000
장안구청,보행,2023-01,송죽동,1,40000
장안구청,보행,2023-01,연무동,1,40000
장안구청,보행,2023-01,연무동,1,40000
장안구청,보행,2023-01,영화동,1,40000
장안구청,보행,2023-01,영화동,1,40000
장안구청,보행,2023-01,영화동,2,40000
장안구청,보행,2023-01,영화동,1,40000
장안구청,보행,2023-01,영화동,1,40000
장안구청,보행,2023-01,영화동,1,40000
장안구청,보행,2023-01,영화동,1,40000
장안구청,보행,2023-01,영화동,1,40000
장안구청,보행,2023-01,영화동,1,40000
장안구청,보행,2023-01,이목동,1,40000
장안구청,보행,2023-01,이목동,1,40000
장안구청,보행,2023-01,이목동,1,40000
장안구청,보행,2023-01,이목동,1,40000
장안구청,보행,2023-01,이목동,2,80000
장안구청,보행,2023-01,정자동,1,40000
장안구청,보행,2023-01,정자동,1,40000
장안구청,보행,2023-01,정자동,1,40000
장안구청,보행,2023-01,정자동,1,40000
장안구청,보행,2023-01,정자동,1,50000
장안구청,보행,2023-01,정자동,2,80000
장안구청,보행,2023-01,정자동,2,80000
장안구청,보행,2023-01,정자동,1,50000
장안구청,보행,2023-01,정자동,1,40000
장안구청,보행,2023-01,정자동,1,40000
장안구청,보행,2023-01,조원동,1,50000
장안구청,보행,2023-01,조원동,2,80000
장안구청,보행,2023-01,파장동,1,40000
장안구청,보행,2023-01,파장동,2,80000
장안구청,보행,2023-01,파장동,1,40000
장안구청,보행,2023-01,파장동,1,40000
장안구청,보행,2023-01,파장동,1,50000
장안구청,보행,2023-01,파장동,1,40000
장안구청,고정형,2023-01,상광교동,14,560000
장안구청,고정형,2023-01,송죽동,2,40000
장안구청,주행형,2023-01,송죽동,3,120000
장안구청,주행형,2023-01,송죽동,2,80000
장안구청,주행형,2023-01,송죽동,12,470000
장안구청,주행형,2023-01,송죽동,10,400000
장안구청,주행형,2023-01,송죽동,2,80000
장안구청,주행형,2023-01,송죽동,28,1140000
장안구청,주행형,2023-01,송죽동,61,2350000
장안구청,주행형,2023-01,송죽동,1,40000
장안구청,주행형,2023-01,송죽동,9,360000
장안구청,주행형,2023-01,송죽동,5,120000
장안구청,주행형,2023-01,송죽동,12,520000
장안구청,주행형,2023-01,송죽동,9,380000
장안구청,주행형,2023-01,송죽동,8,320000
장안구청,고정형,2023-01,송죽동,3,280000
장안구청,국민신문고,2023-01,송죽동,1,80000
장안구청,국민신문고,2023-01,송죽동,1,80000
장안구청,국민신문고,2023-01,송죽동,1,80000
장안구청,국민신문고,2023-01,송죽동,2,160000
장안구청,국민신문고,2023-01,송죽동,2,80000
장안구청,국민신문고,2023-01,송죽동,2,80000
장안구청,국민신문고,2023-01,송죽동,2,80000
장안구청,국민신문고,2023-01,송죽동,1,40000
장안구청,국민신문고,2023-01,송죽동,1,40000
장안구청,국민신문고,2023-01,송죽동,1,40000
장안구청,국민신문고,2023-01,송죽동,2,160000
장안구청,국민신문고,2023-01,송죽동,1,80000
장안구청,국민신문고,2023-01,송죽동,1,40000
장안구청,국민신문고,2023-01,송죽동,1,40000
장안구청,국민신문고,2023-01,송죽동,1,80000
장안구청,국민신문고,2023-01,송죽동,1,40000
장안구청,국민신문고,2023-01,송죽동,1,40000
장안구청,주민신고제,2023-01,송죽동,1,40000
장안구청,국민신문고,2023-01,송죽동,8,560000
장안구청,주민신고제,2023-01,송죽동,1,40000
장안구청,국민신문고,2023-01,송죽동,3,80000
장안구청,주민신고제,2023-01,송죽동,1,80000
장안구청,국민신문고,2023-01,송죽동,16,1280000
장안구청,국민신문고,2023-01,송죽동,15,1000000
장안구청,국민신문고,2023-01,송죽동,2,160000
장안구청,국민신문고,2023-01,송죽동,1,80000
장안구청,국민신문고,2023-01,송죽동,1,80000
장안구청,국민신문고,2023-01,송죽동,1,80000
장안구청,국민신문고,2023-01,송죽동,1,80000
장안구청,국민신문고,2023-01,송죽동,1,40000
장안구청,국민신문고,2023-01,송죽동,1,80000
장안구청,국민신문고,2023-01,송죽동,4,200000
장안구청,국민신문고,2023-01,송죽동,1,80000
장안구청,국민신문고,2023-01,송죽동,16,1040000
장안구청,국민신문고,2023-01,송죽동,2,160000
장안구청,고정형,2023-01,송죽동,16,1000000
장안구청,고정형,2023-01,송죽동,73,2660000
장안구청,고정형,2023-01,송죽동,33,1130000
장안구청,고정형,2023-01,송죽동,4,160000
장안구청,주행형,2023-01,송죽동,1,40000
장안구청,주행형,2023-01,송죽동,3,120000
장안구청,주행형,2023-01,송죽동,1,40000
장안구청,고정형,2023-01,송죽동,34,1250000
장안구청,주행형,2023-01,연무동,5,160000
장안구청,주행형,2023-01,연무동,1,50000
장안구청,국민신문고,2023-01,연무동,1,40000
장안구청,국민신문고,2023-01,연무동,1,40000
장안구청,국민신문고,2023-01,연무동,2,90000
장안구청,국민신문고,2023-01,연무동,1,40000
장안구청,국민신문고,2023-01,연무동,6,250000
장안구청,국민신문고,2023-01,연무동,1,40000
장안구청,국민신문고,2023-01,연무동,1,40000
장안구청,주행형,2023-01,연무동,8,320000
장안구청,주행형,2023-01,연무동,1,50000
장안구청,주행형,2023-01,연무동,1,40000
장안구청,고정형,2023-01,연무동,19,800000
장안구청,보행,2023-01,연무동,1,40000
장안구청,주행형,2023-01,연무동,18,880000
장안구청,고정형,2023-01,연무동,39,1920000
장안구청,주행형,2023-01,연무동,111,4030000
장안구청,주행형,2023-01,연무동,3,80000
장안구청,주행형,2023-01,연무동,1,40000
장안구청,주행형,2023-01,연무동,7,200000
장안구청,주행형,2023-01,연무동,6,250000
장안구청,주행형,2023-01,연무동,59,2210000
장안구청,주행형,2023-01,연무동,7,280000
장안구청,주행형,2023-01,연무동,2,80000
장안구청,주행형,2023-01,연무동,19,680000
장안구청,고정형,2023-01,연무동,28,1040000
장안구청,국민신문고,2023-01,영화동,1,40000
장안구청,고정형,2023-01,영화동,1,40000
장안구청,주행형,2023-01,영화동,5,210000
장안구청,고정형,2023-01,영화동,68,2550000
장안구청,주행형,2023-01,영화동,1,40000
장안구청,주행형,2023-01,영화동,2,80000
장안구청,주행형,2023-01,영화동,2,80000
장안구청,주행형,2023-01,영화동,3,140000
장안구청,주행형,2023-01,영화동,91,3570000
장안구청,주행형,2023-01,영화동,6,240000
장안구청,주행형,2023-01,영화동,14,560000
장안구청,국민신문고,2023-01,영화동,1,80000
장안구청,국민신문고,2023-01,영화동,2,40000
장안구청,국민신문고,2023-01,영화동,1,40000
장안구청,주행형,2023-01,영화동,10,360000
장안구청,국민신문고,2023-01,영화동,2,40000
장안구청,국민신문고,2023-01,영화동,1,40000
장안구청,국민신문고,2023-01,영화동,1,40000
장안구청,국민신문고,2023-01,영화동,1,40000
장안구청,국민신문고,2023-01,영화동,1,40000
장안구청,국민신문고,2023-01,영화동,2,80000
장안구청,국민신문고,2023-01,영화동,1,80000
장안구청,국민신문고,2023-01,영화동,1,40000
장안구청,국민신문고,2023-01,영화동,1,40000
장안구청,국민신문고,2023-01,영화동,1,40000
장안구청,국민신문고,2023-01,영화동,1,80000
장안구청,국민신문고,2023-01,영화동,1,40000
장안구청,국민신문고,2023-01,영화동,3,120000
장안구청,국민신문고,2023-01,영화동,4,160000
장안구청,국민신문고,2023-01,영화동,2,80000
장안구청,국민신문고,2023-01,영화동,2,90000
장안구청,국민신문고,2023-01,영화동,1,40000
장안구청,국민신문고,2023-01,영화동,1,120000
장안구청,국민신문고,2023-01,영화동,1,80000
장안구청,국민신문고,2023-01,영화동,1,80000
장안구청,국민신문고,2023-01,영화동,1,40000
장안구청,국민신문고,2023-01,영화동,5,280000
장안구청,국민신문고,2023-01,영화동,2,80000
장안구청,국민신문고,2023-01,영화동,1,40000
장안구청,국민신문고,2023-01,영화동,2,160000
장안구청,국민신문고,2023-01,영화동,1,40000
장안구청,국민신문고,2023-01,영화동,2,80000
장안구청,국민신문고,2023-01,영화동,1,40000
장안구청,국민신문고,2023-01,영화동,1,80000
장안구청,국민신문고,2023-01,영화동,3,240000
장안구청,국민신문고,2023-01,영화동,1,40000
장안구청,국민신문고,2023-01,영화동,1,40000
장안구청,국민신문고,2023-01,영화동,2,80000
장안구청,국민신문고,2023-01,영화동,2,80000
장안구청,국민신문고,2023-01,영화동,2,80000
장안구청,보행,2023-01,영화동,1,40000
장안구청,주행형,2023-01,영화동,24,2620000
장안구청,주행형,2023-01,영화동,1,40000
장안구청,주행형,2023-01,영화동,1,40000
장안구청,주행형,2023-01,영화동,1,40000
장안구청,고정형,2023-01,영화동,1,40000
장안구청,주행형,2023-01,영화동,1,40000
장안구청,주행형,2023-01,영화동,2,80000
장안구청,고정형,2023-01,영화동,40,1460000
장안구청,고정형,2023-01,영화동,2,80000
장안구청,주행형,2023-01,영화동,5,200000
장안구청,주행형,2023-01,영화동,8,340000
장안구청,주행형,2023-01,영화동,7,290000
장안구청,주행형,2023-01,영화동,3,120000
장안구청,주행형,2023-01,영화동,4,160000
장안구청,주행형,2023-01,영화동,1,40000
장안구청,주행형,2023-01,영화동,1,40000
장안구청,주행형,2023-01,영화동,14,490000
장안구청,주행형,2023-01,영화동,23,780000
장안구청,주행형,2023-01,영화동,8,280000
장안구청,주행형,2023-01,영화동,2,90000
장안구청,주행형,2023-01,영화동,66,2500000
장안구청,주행형,2023-01,영화동,38,1460000
장안구청,주행형,2023-01,영화동,4,160000
장안구청,주행형,2023-01,영화동,9,360000
장안구청,주행형,2023-01,영화동,12,410000
장안구청,주행형,2023-01,영화동,38,1460000
장안구청,주행형,2023-01,영화동,1,40000
장안구청,고정형,2023-01,영화동,7,450000
장안구청,국민신문고,2023-01,율전동,2,40000
장안구청,고정형,2023-01,율전동,17,690000
장안구청,고정형,2023-01,율전동,1,40000
장안구청,주행형,2023-01,율전동,5,220000
장안구청,주행형,2023-01,율전동,9,280000
장안구청,주행형,2023-01,율전동,7,280000
장안구청,주행형,2023-01,율전동,5,200000
장안구청,주행형,2023-01,율전동,1,50000
장안구청,주행형,2023-01,율전동,1,40000
장안구청,주행형,2023-01,율전동,2,240000
장안구청,고정형,2023-01,율전동,10,400000
장안구청,고정형,2023-01,율전동,1,40000
장안구청,주행형,2023-01,율전동,1,50000
장안구청,주행형,2023-01,율전동,3,120000
장안구청,주행형,2023-01,율전동,5,200000
장안구청,고정형,2023-01,율전동,98,10440000
장안구청,주행형,2023-01,율전동,29,1240000
장안구청,주행형,2023-01,율전동,5,200000
장안구청,주행형,2023-01,율전동,1,40000
장안구청,주행형,2023-01,율전동,4,160000
장안구청,주행형,2023-01,율전동,23,850000
장안구청,주행형,2023-01,율전동,2,240000
장안구청,고정형,2023-01,율전동,19,760000
장안구청,국민신문고,2023-01,율전동,1,40000
장안구청,국민신문고,2023-01,율전동,1,40000
장안구청,국민신문고,2023-01,율전동,2,80000
장안구청,국민신문고,2023-01,율전동,1,40000
장안구청,국민신문고,2023-01,율전동,1,40000
장안구청,국민신문고,2023-01,율전동,1,40000
장안구청,국민신문고,2023-01,율전동,1,40000
장안구청,국민신문고,2023-01,율전동,1,40000
장안구청,국민신문고,2023-01,율전동,1,40000
장안구청,국민신문고,2023-01,율전동,2,80000
장안구청,국민신문고,2023-01,율전동,1,40000
장안구청,국민신문고,2023-01,율전동,1,80000
장안구청,국민신문고,2023-01,율전동,1,80000
장안구청,국민신문고,2023-01,율전동,1,40000
장안구청,국민신문고,2023-01,율전동,2,40000
장안구청,국민신문고,2023-01,율전동,1,40000
장안구청,국민신문고,2023-01,율전동,1,40000
장안구청,국민신문고,2023-01,율전동,2,240000
장안구청,국민신문고,2023-01,율전동,2,80000
장안구청,국민신문고,2023-01,율전동,1,40000
장안구청,국민신문고,2023-01,율전동,1,40000
장안구청,국민신문고,2023-01,율전동,1,40000
장안구청,국민신문고,2023-01,율전동,2,90000
장안구청,국민신문고,2023-01,율전동,1,40000
장안구청,국민신문고,2023-01,율전동,1,40000
장안구청,국민신문고,2023-01,율전동,3,80000
장안구청,국민신문고,2023-01,율전동,2,40000
장안구청,국민신문고,2023-01,율전동,5,200000
장안구청,국민신문고,2023-01,율전동,2,90000
장안구청,국민신문고,2023-01,율전동,2,80000
장안구청,국민신문고,2023-01,율전동,1,40000
장안구청,국민신문고,2023-01,율전동,3,120000
장안구청,국민신문고,2023-01,율전동,1,40000
장안구청,주행형,2023-01,율전동,1,40000
장안구청,주행형,2023-01,율전동,11,400000
장안구청,주행형,2023-01,율전동,32,1280000
장안구청,주행형,2023-01,율전동,1,40000
장안구청,고정형,2023-01,율전동,2,80000
장안구청,고정형,2023-01,율전동,45,1430000
장안구청,주행형,2023-01,율전동,1,40000
장안구청,주행형,2023-01,율전동,2,80000
장안구청,주행형,2023-01,율전동,18,720000
장안구청,주행형,2023-01,율전동,7,240000
장안구청,주행형,2023-01,율전동,2,90000
장안구청,주행형,2023-01,율전동,2,80000
장안구청,고정형,2023-01,율천동,85,3240000
장안구청,고정형,2023-01,율천동,5,600000
장안구청,고정형,2023-01,율천동,2,160000
장안구청,국민신문고,2023-01,이목동,1,40000
장안구청,국민신문고,2023-01,이목동,1,80000
장안구청,주행형,2023-01,이목동,1,50000
장안구청,주행형,2023-01,이목동,4,160000
장안구청,주행형,2023-01,이목동,11,440000
장안구청,주행형,2023-01,이목동,4,130000
장안구청,주행형,2023-01,이목동,8,360000
장안구청,주행형,2023-01,이목동,4,160000
장안구청,고정형,2023-01,정자1동,68,2690000
장안구청,고정형,2023-01,정자1동,22,900000
장안구청,고정형,2023-01,정자1동,9,1080000
장안구청,고정형,2023-01,정자2동,7,240000
장안구청,고정형,2023-01,정자2동,17,1830000
장안구청,고정형,2023-01,정자2동,8,320000
장안구청,고정형,2023-01,정자2동,11,400000
장안구청,고정형,2023-01,정자2동,136,5140000
장안구청,고정형,2023-01,정자3동,75,2810000
장안구청,고정형,2023-01,정자3동,21,840000
장안구청,고정형,2023-01,정자3동,1,40000
장안구청,고정형,2023-01,정자3동,9,360000
장안구청,고정형,2023-01,정자3동,7,560000
장안구청,국민신문고,2023-01,정자동,2,80000
장안구청,고정형,2023-01,정자동,7,840000
장안구청,주행형,2023-01,정자동,65,2680000
장안구청,고정형,2023-01,정자동,8,800000
장안구청,주행형,2023-01,정자동,12,550000
장안구청,고정형,2023-01,정자동,7,600000
장안구청,주행형,2023-01,정자동,1,50000
장안구청,주행형,2023-01,정자동,1,50000
장안구청,주행형,2023-01,정자동,2,80000
장안구청,고정형,2023-01,정자동,27,1000000
장안구청,주행형,2023-01,정자동,12,490000
장안구청,주행형,2023-01,정자동,56,2180000
장안구청,주행형,2023-01,정자동,4,160000
장안구청,주행형,2023-01,정자동,34,1210000
장안구청,주행형,2023-01,정자동,1,40000
장안구청,주행형,2023-01,정자동,1,40000
장안구청,주행형,2023-01,정자동,5,210000
장안구청,주행형,2023-01,정자동,6,240000
장안구청,주행형,2023-01,정자동,47,1920000
장안구청,고정형,2023-01,정자동,4,120000
장안구청,주행형,2023-01,정자동,43,1600000
장안구청,주행형,2023-01,정자동,1,40000
장안구청,주행형,2023-01,정자동,1,40000
장안구청,주행형,2023-01,정자동,4,120000
장안구청,주행형,2023-01,정자동,3,120000
장안구청,주행형,2023-01,정자동,2,40000
장안구청,주행형,2023-01,정자동,1,40000
장안구청,주행형,2023-01,정자동,45,1940000
장안구청,주행형,2023-01,정자동,1,40000
장안구청,주행형,2023-01,정자동,5,200000
장안구청,주행형,2023-01,정자동,15,560000
장안구청,주행형,2023-01,정자동,3,120000
장안구청,주행형,2023-01,정자동,1,40000
장안구청,국민신문고,2023-01,정자동,3,240000
장안구청,국민신문고,2023-01,정자동,1,120000
장안구청,국민신문고,2023-01,정자동,1,40000
장안구청,국민신문고,2023-01,정자동,1,40000
장안구청,국민신문고,2023-01,정자동,2,80000
장안구청,국민신문고,2023-01,정자동,1,40000
장안구청,국민신문고,2023-01,정자동,1,40000
장안구청,국민신문고,2023-01,정자동,1,40000
장안구청,국민신문고,2023-01,정자동,2,80000
장안구청,국민신문고,2023-01,정자동,3,80000
장안구청,국민신문고,2023-01,정자동,10,570000
장안구청,국민신문고,2023-01,정자동,1,40000
장안구청,국민신문고,2023-01,정자동,3,240000
장안구청,국민신문고,2023-01,정자동,2,120000
장안구청,국민신문고,2023-01,정자동,1,40000
장안구청,국민신문고,2023-01,정자동,1,40000
장안구청,국민신문고,2023-01,정자동,1,40000
장안구청,국민신문고,2023-01,정자동,1,40000
장안구청,국민신문고,2023-01,정자동,4,240000
장안구청,국민신문고,2023-01,정자동,1,40000
장안구청,국민신문고,2023-01,정자동,1,40000
장안구청,국민신문고,2023-01,정자동,1,40000
장안구청,국민신문고,2023-01,정자동,1,40000
장안구청,국민신문고,2023-01,정자동,1,80000
장안구청,국민신문고,2023-01,정자동,4,160000
장안구청,국민신문고,2023-01,정자동,2,80000
장안구청,국민신문고,2023-01,정자동,2,160000
장안구청,국민신문고,2023-01,정자동,2,160000
장안구청,국민신문고,2023-01,정자동,2,80000
