무인교통단속카메라관리번호,시도명,시군명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
H4724,경기도,가평군,시도,,청군로,03,,경기도 가평군 상면 임초리 413-3,37.77495514,127.3712053,상면초교(상면교차로→개누리고개),01,30,02,2021,경기도북부경찰청,031-961-3853,2023-11-01
G2403,경기도,가평군,일반국도,75,호반로,01,,경기도 가평군 가평읍 달전리 452-10,37.81396807,127.514933,농협앞(남이섬→가평경찰서),01,30,99,2018,경기도북부경찰청,031-961-3853,2023-11-01
H5793,경기도,가평군,지방도,86,한서로,03,경기도 가평군 설악면 한서로 233,경기도 가평군 설악면 위곡리 718-1,37.67062317,127.5153582,미원초교 위곡분교(홍천→설악면),02,30,02,2021,경기도북부경찰청,031-961-3853,2023-11-01
H4872,경기도,가평군,시도,,석봉로191번길,03,경기도 가평군 가평읍 연인2길 22-1,경기도 가평군 가평읍 읍내리 493-3,37.82980282,127.5110532,가평초교 건너편(가평역→가평군청),02,30,02,2020,경기도북부경찰청,031-961-3853,2023-11-01
H5792,경기도,가평군,일반국도,75,가화로,02,,경기도 가평군 북면 이곡리 67-21,37.88014061,127.5461565,목동초교 건너편(목동버스터미널→가평군청),02,30,02,2021,경기도북부경찰청,031-961-3853,2023-11-01
H5794,경기도,가평군,지방도,86,한서로,03,,경기도 가평군 설악면 위곡리 795-3,37.66988395,127.5157627,미원초교 위곡분교 건너편(설악면→홍천),02,30,02,2021,경기도북부경찰청,031-961-3853,2023-11-01
H3601,경기도,가평군,일반국도,46,경춘로,02,,경기도 가평군 가평읍 대곡리 10-34,37.82330689,127.5182812,가평2교 남단(춘천→서울),01,70,99,2021,경기도북부경찰청,031-961-3853,2023-11-01
H3602,경기도,가평군,일반국도,37,금강로,02,,경기도 가평군 상면 봉수리 185-3,37.86135219,127.2896971,봉수교차로 626 봉수교차로 500m(춘천→서울),01,70,99,2021,경기도북부경찰청,031-961-3853,2023-11-01
H4866,경기도,가평군,시도,,청군로,02,,경기도 가평군 상면 율길리 457-3,37.83858434,127.2879197,율길초교 건너편(서파육교→율길삼거리),01,30,02,2021,경기도북부경찰청,031-961-3853,2023-11-01
H4868,경기도,가평군,시도,,석봉로191번길,03,경기도 가평군 가평읍 석봉로191번길 13,경기도 가평군 가평읍 읍내리 573-3,37.83178023,127.5085116,가평초교(가평초교→가평군청),01,30,02,2020,경기도북부경찰청,031-961-3853,2023-11-01
H4869,경기도,가평군,시도,,석봉로191번길,03,경기도 가평군 가평읍 석봉로191번길 10,경기도 가평군 가평읍 읍내리 608-5,37.83217293,127.5087451,가평초교(가평군청→가평초교),01,30,02,2020,경기도북부경찰청,031-961-3853,2023-11-01
H4870,경기도,가평군,시도,,문화로,02,,경기도 가평군 가평읍 읍내리 549-1,37.82949911,127.5071577,한석봉도서관(가평초교→가평역),01,30,99,2020,경기도북부경찰청,031-961-3853,2023-11-01
H4871,경기도,가평군,시도,,가평제방길,01,,경기도 가평군 가평읍 읍내리 421-8,37.8311176,127.5165117,농협농용자재백화점(남이섬→마장리),01,30,99,2020,경기도북부경찰청,031-961-3853,2023-11-01
H4873,경기도,가평군,시도,,석봉로191번길,03,경기도 가평군 가평읍 석봉로 159,경기도 가평군 가평읍 읍내리 487-6,37.8293944,127.510804,가평초교(가평군청→가평역),02,30,02,2020,경기도북부경찰청,031-961-3853,2023-11-01
H4874,경기도,가평군,시도,,잠곡로,02,,경기도 가평군 청평면 청평리 406-18,37.73704913,127.4216785,청평초교(청평4리마을회관→청평파출소),02,30,02,2020,경기도북부경찰청,031-961-3853,2023-11-01
