거주자우선주차구역명,소재지지번주소,운영형태
1017공원주차장(31),영통동 1015-7,야간
1017공원주차장(31),영통동 1015-7,야간
1017공원주차장(31),영통동 1015-8,야간
1017공원주차장(31),영통동 1015-8,야간
1017공원주차장(31),영통동 1015-8,야간
1017공원주차장(31),영통동 1015-8,야간
1017공원주차장(31),영통동 1018-1,야간
1017공원주차장(31),영통동 1018-4,야간
1017공원주차장(31),영통동 1018-3,야간
1017공원주차장(31),영통동 1018-3,야간
1017공원주차장(31),영통동 1018-2,야간
1017공원주차장(31),영통동 1018-2,야간
1017공원주차장(31),영통동 1018-1,야간
1017공원주차장(31),영통동 1014-11,야간
1017공원주차장(31),영통동 1014-11,야간
1017공원주차장(31),영통동 1018-9,야간
1017공원주차장(31),영통동 1018-8,야간
1017공원주차장(31),영통동 1018-7,야간
1017공원주차장(31),영통동 1018-4,야간
1017공원주차장(31),영통동 1014-14,야간
1017공원주차장(31),영통동 1014-14,야간
1017공원주차장(31),영통동 1014-13,야간
1017공원주차장(31),영통동 1014-13,야간
1017공원주차장(31),영통동 1014-12,야간
1017공원주차장(31),영통동 1014-12,야간
1198근린공원주차장(1),권선동 1193-2,야간
1198근린공원주차장(1),권선동 1193-2,야간
1198근린공원주차장(1),권선동 1193-1,야간
1198근린공원주차장(1),권선동 1193-1,야간
1198근린공원주차장(1),권선동 1193-1,야간
1198근린공원주차장(1),권선동 1193-0,야간
1198근린공원주차장(1),권선동 1197-7,야간
1198근린공원주차장(1),권선동 1197-7,야간
1198근린공원주차장(1),권선동 1196-8,야간
1198근린공원주차장(1),권선동 1196-8,야간
1198근린공원주차장(1),권선동 1196-7,야간
1198근린공원주차장(1),권선동 1196-7,야간
1198근린공원주차장(1),권선동 1196-7,야간
1198근린공원주차장(1),권선동 1197-8,야간
1198근린공원주차장(1),권선동 1192-1,야간
1198근린공원주차장(1),권선동 1192-1,야간
1198근린공원주차장(1),권선동 1195-8,야간
1198근린공원주차장(1),권선동 1195-7,야간
1198근린공원주차장(1),권선동 1195-7,야간
1198근린공원주차장(1),권선동 1196-8,야간
1198근린공원주차장(1),권선동 1193-0,야간
1198근린공원주차장(1),권선동 1207-0,야간
1198근린공원주차장(1),권선동 1192-2,야간
