시군구명,승용(관용),승용(자가용),승용(영업용),승용(관용+자가용+영업용),승합(관용),승합(자가용),승합(영업용),승합(관용+자가용+영업용),화물(관용),화물(자가용),화물(영업용),화물(관용+자가용+영업용),특수(관용),특수(자가용),특수(영업용),특수(관용+자가용+영업용),관용 자동차(승용+승합+화물+특수) 등록대수,자가용 자동차(승용+승합+화물+특수) 등록대수,영업용 자동차(승용+승합+화물+특수) 등록대수,총계
성남시 분당구,181,179541,4245,183967,63,2679,1258,4000,110,8078,2014,10202,13,310,230,553,367,190608,7747,198722
수원시 권선구,135,173662,4713,178510,167,5036,1481,6684,164,21196,2929,24289,25,463,576,1064,491,200357,9699,210547
수원시 팔달구,153,70150,1379,71682,82,2604,121,2807,97,6719,1686,8502,23,152,108,283,355,79625,3294,83274
수원시 영통구,250,139272,1752,141274,96,2340,84,2520,65,6858,1471,8394,3,220,134,357,414,148690,3441,152545
성남시 수정구,167,66964,1050,68181,69,2240,219,2528,76,7689,1279,9044,3,170,148,321,315,77063,2696,80074
성남시 중원구,212,62589,2056,64857,58,2414,266,2738,105,9166,1552,10823,17,146,135,298,392,74315,4009,78716
의정부시,251,148156,2330,150737,270,4862,425,5557,200,18272,2764,21236,26,451,267,744,747,171741,5786,178274
안양시 만안구,92,73734,1303,75129,28,2429,900,3357,38,9327,1638,11003,0,164,132,296,158,85654,3973,89785
안양시 동안구,146,110346,2302,112794,122,2328,625,3075,123,9990,3885,13998,13,292,159,464,404,122956,6971,130331
부천시,272,251415,5494,257181,206,8375,1164,9745,211,34959,5850,41020,29,539,555,1123,718,295288,13063,309069
부천시 원미구,0,33,0,33,0,19,0,19,0,73,0,73,0,0,0,0,0,125,0,125
부천시 소사구,0,15,0,15,0,12,8,20,0,31,0,31,0,0,1,1,0,58,9,67
부천시 오정구,0,29,0,29,0,11,0,11,0,42,1,43,0,0,0,0,0,82,1,83
광명시,119,87990,1585,89694,77,2601,443,3121,103,10719,2237,13059,9,194,162,365,308,101504,4427,106239
평택시,337,273572,3565,277474,168,8355,2091,10614,247,35522,6995,42764,26,807,979,1812,778,318256,13630,332664
동두천시,81,32142,753,32976,43,1351,68,1462,82,5517,652,6251,12,94,52,158,218,39104,1525,40847
안산시 상록구,69,122522,2501,125092,40,4308,634,4982,33,18821,2507,21361,3,388,373,764,145,146039,6015,152199
안산시 단원구,182,132279,2458,134919,162,5451,1138,6751,223,22989,3790,27002,13,348,352,713,580,161067,7738,169385
고양시 덕양구,297,168907,1330,170534,162,4474,352,4988,186,19395,2459,22040,24,372,233,629,669,193148,4374,198191
고양시 일산동구,107,112557,3474,116138,78,2691,777,3546,84,13144,2095,15323,10,319,198,527,279,128711,6544,135534
고양시 일산서구,69,104682,2328,107079,27,2313,525,2865,34,9726,1401,11161,1,216,142,359,131,116937,4396,121464
과천시,460,27357,308,28125,122,543,26,691,128,1836,364,2328,18,56,8,82,728,29792,706,31226
구리시,88,60539,1141,61768,74,1724,292,2090,102,8561,1322,9985,12,162,146,320,276,70986,2901,74163
남양주시,352,264849,2126,267327,200,8089,1082,9371,229,43316,5813,49358,27,980,482,1489,808,317234,9503,327545
오산시,83,98000,1151,99234,57,2994,516,3567,68,10379,2209,12656,9,271,154,434,217,111644,4030,115891
시흥시,171,217694,1774,219639,115,6914,421,7450,157,37274,6051,43482,21,572,407,1000,464,262454,8653,271571
군포시,126,88150,962,89238,72,2369,167,2608,94,9261,3982,13337,10,162,273,445,302,99942,5384,105628
의왕시,113,58719,310,59142,97,1468,174,1739,84,6018,2123,8225,10,133,312,455,304,66338,2919,69561
하남시,198,119254,1007,120459,91,2788,330,3209,137,15818,2219,18174,10,297,157,464,436,138157,3713,142306
용인시 처인구,366,112731,1711,114808,188,4070,1286,5544,250,21202,4720,26172,19,577,460,1056,823,138580,8177,147580
용인시 기흥구,42,177938,2775,180755,36,3747,658,4441,33,11852,3509,15394,9,451,187,647,120,193988,7129,201237
용인시 수지구,20,142882,700,143602,17,2026,196,2239,22,4975,1395,6392,0,225,33,258,59,150108,2324,152491
파주시,242,201093,2530,203865,102,5935,2652,8689,175,30340,5786,36301,20,585,306,911,539,237953,11274,249766
이천시,197,98845,978,100020,85,3608,659,4352,127,18737,4232,23096,16,407,544,967,425,121597,6413,128435
안성시,151,88144,686,88981,100,3248,462,3810,139,18780,3276,22195,14,796,282,1092,404,110968,4706,116078
김포시,236,196947,2278,199461,114,5542,1497,7153,196,30596,4210,35002,8,613,708,1329,554,233698,8693,242945
화성시,376,419825,3056,423257,214,10955,2683,13852,295,62158,7360,69813,73,1458,572,2103,958,494396,13671,509025
광주시,173,166080,813,167066,97,5256,2616,7969,126,30483,4941,35550,13,592,357,962,409,202411,8727,211547
양주시,159,98051,668,98878,91,3845,431,4367,151,18775,2465,21391,15,415,218,648,416,121086,3782,125284
포천시,160,65359,5153,70672,72,3034,799,3905,144,20889,2749,23782,12,310,385,707,388,89592,9086,99066
여주시,174,50725,368,51267,84,2146,700,2930,202,14109,5972,20283,9,271,356,636,469,67251,7396,75116
여주군,0,7,0,7,0,0,0,0,0,13,0,13,0,0,0,0,0,20,0,20
연천군,85,17294,94,17473,72,786,126,984,153,6278,4477,10908,7,127,511,645,317,24485,5208,30010
가평군,137,24585,163,24885,83,1195,148,1426,158,6597,203,6958,20,121,42,183,398,32498,556,33452
양평군,237,50255,393,50885,109,1848,660,2617,260,12111,832,13203,11,242,89,342,617,64456,1974,67047
수원시 장안구,203,93271,939,94413,168,2880,600,3648,105,8390,2026,10521,14,188,124,326,490,104729,3689,108908
성남시 수정구,167,67235,1044,68446,70,2214,216,2500,77,7654,1284,9015,3,172,147,322,317,77275,2691,80283
성남시 중원구,210,63561,2060,65831,56,2403,268,2727,104,9201,1566,10871,17,149,134,300,387,75314,4028,79729
성남시 분당구,181,179576,4166,183923,63,2658,1267,3988,111,8032,2001,10144,13,311,228,552,368,190577,7662,198607
의정부시,251,148339,2317,150907,271,4818,425,5514,200,18265,2772,21237,26,456,259,741,748,171878,5773,178399
안양시 만안구,95,73899,1294,75288,29,2409,898,3336,39,9326,1645,11010,0,167,132,299,163,85801,3969,89933
안양시 동안구,146,110565,2286,112997,120,2309,625,3054,123,9983,3887,13993,13,306,160,479,402,123163,6958,130523
부천시,275,252106,5492,257873,203,8291,1165,9659,211,34919,5872,41002,30,542,559,1131,719,295858,13088,309665
부천시 원미구,0,33,0,33,0,19,0,19,0,72,0,72,0,0,0,0,0,124,0,124
