고유번호,환승시작역,환승시작역 코드,환승시작 호선,하차 열차 행선지,하차위치(호차),하차위치(칸번호),환승종료역,환승종료역 코드,환승종료 호선,환승 열차 행선지,환승 승차위치(호차),승차위치(칸번호),소요시간
1,복정,1031,수인분당선,청량리행,6,3,복정,2821,8,암사행,4,2,00:30
2,복정,1031,수인분당선,신포행,3,2,복정,2821,8,암사행,4,2,00:40
3,복정,1031,수인분당선,청량리행,6,3,복정,2821,8,모란행,3,2,00:30
4,복정,1031,수인분당선,신포행,3,2,복정,2821,8,모란행,3,2,00:40
5,대곡,300,경의선,문산행,4,2,대곡,1953,3,대화행,3,4,05:19
6,대곡,300,경의선,문산행,4,2,대곡,1953,3,오금행,8,1,05:27
7,대곡,300,경의선,지평행,5,3,대곡,1953,3,대화행,3,4,05:11
8,대곡,300,경의선,지평행,5,3,대곡,1953,3,오금행,8,1,05:22
9,가좌,1265,경의선,서울역행,3,3,가좌,1265,경의선,문산행,5,1,01:59
10,문산,1284,경의선,지평행,6,2,문산,1284,경의선,임진강행,3,3,01:59
11,효창공원앞,1261,경의선,문산행,5,3,효창공원앞,2628,6,응암행,6,4,06:40
12,효창공원앞,1261,경의선,지평행,8,2,효창공원앞,2628,6,신내행,3,1,03:31
13,효창공원앞,1261,경의선,문산행,5,3,효창공원앞,2628,6,신내행,3,1,06:40
14,효창공원앞,1261,경의선,지평행,8,2,효창공원앞,2628,6,응암행,6,4,03:31
15,청구,2538,5,하남검단산행,6,4,청구,2635,6,신내행,6,2,02:37
16,청구,2538,5,하남검단산행,6,4,청구,2635,6,응암행,6,1,02:30
17,청구,2538,5,방화행,2,4,청구,2635,6,신내행,6,2,02:37
18,청구,2538,5,방화행,2,4,청구,2635,6,응암행,6,1,02:30
19,합정,2623,6,응암행,5,3,합정,238,2,홍대입구행(내선),2,2,02:29
20,합정,2623,6,신내행,6,2,합정,238,2,홍대입구행(내선),2,2,03:23
21,합정,2623,6,응암행,5,3,합정,238,2,당산행(외선),9,3,02:31
22,합정,2623,6,신내행,6,2,합정,238,2,당산행(외선),9,3,02:32
23,인천,1891,수인분당선,청량리행(수인분당선),2,3,인천,1812,1,인천행(1호선),4,1,03:50
24,주안,3218,인천2,검단오류행,2,3,주안,1809,1,인천행,1,4,03:45
25,주안,3218,인천2,운연행,1,1,주안,1809,1,인천행,1,4,03:51
26,주안,3218,인천2,검단오류행,2,3,주안,1809,1,소요산행,10,1,04:06
27,주안,3218,인천2,운연행,1,1,주안,1809,1,소요산행,10,1,04:11
28,인천시청,3221,인천2,검단오류행,2,2,인천시청,3124,인천1,송도달빛축제공원행,1,1,04:17
29,인천시청,3221,인천2,운연행,1,1,인천시청,3124,인천1,송도달빛축제공원행,1,1,04:00
30,인천시청,3221,인천2,검단오류행,2,2,인천시청,3124,인천1,계양행,8,2,04:14
31,인천시청,3221,인천2,운연행,1,1,인천시청,3124,인천1,계양행,8,2,04:06
32,석남,3763,7,장암행,1,4,석남,3213,인천2,검단오류행,2,3,05:45
33,석남,3763,7,장암행,2,4,석남,3213,인천2,운연행,1,1,05:26
