,순위,곡,가수,링크,앨범
0,1,Magnetic,ILLIT,https://music.youtube.com/watch?v=HBqH4uJS0PU&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,SUPER REAL ME
1,2,나는 아픈 건 딱 질색이니까,(여자)아이들,https://music.youtube.com/watch?v=vBJVWOOsB4A&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,2
2,3,첫 만남은 계획대로 되지 않아,TWS,https://music.youtube.com/watch?v=bKeU99EygzY&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,TWS : 1st Mini Album 'Sparkling Blue'
3,4,고민중독,QWER,https://music.youtube.com/watch?v=pbELDkeLdho&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,1st Mini Album 'MANITO'
4,5,Smart,LE SSERAFIM,https://music.youtube.com/watch?v=VwJggqvxGUQ&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,EASY
5,6,Love wins all,아이유,https://music.youtube.com/watch?v=ZqJ7bfgacSA&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Love wins all
6,7,EASY,LE SSERAFIM,https://music.youtube.com/watch?v=Zj9-RiEf4Og&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,EASY
7,8,To. X,TAEYEON,https://music.youtube.com/watch?v=UTOxChG5Ucc&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,To. X - The 5th Mini Album
8,9,SHEESH,BABYMONSTER,https://music.youtube.com/watch?v=-Uw97CvOgKU&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,BABYMONS7ER
9,10,한 페이지가 될 수 있게 Time of Our Life,DAY6(데이식스),https://music.youtube.com/watch?v=-9fC6oDFl5k&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,The Book of Us : Gravity
10,11,Drama,aespa,https://music.youtube.com/watch?v=S3Z6N7U7f6I&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Drama - The 4th Mini Album
11,12,MANIAC,VIVIZ (비비지),https://music.youtube.com/watch?v=BQO0jrOSTHw&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,The 4th Mini Album 'VERSUS'
12,13,Midas Touch,KISS OF LIFE,https://music.youtube.com/watch?v=84MvHFDzo8c&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Midas Touch
13,14,밤양갱,비비 (BIBI),https://music.youtube.com/watch?v=cvQQEs4TDGM&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,밤양갱
14,15,[LIVE] 이창섭 - 천상연 (선녀외전 OST) 라이브 (Full. ver),TOON STUDIO,https://music.youtube.com/watch?v=fQ84rvbfa08&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,
15,16,Bling-Bang-Bang-Born,Creepy Nuts,https://music.youtube.com/watch?v=Jg73p9udbAQ&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Bling-Bang-Bang-Born
16,17,Beautiful Things,Benson Boone,https://music.youtube.com/watch?v=T4l33dsNwVk&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Beautiful Things
17,18,Do or Die,임영웅,https://music.youtube.com/watch?v=9yyFKPR7ZZM&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Do or Die
18,19,Perfect Night,LE SSERAFIM,https://music.youtube.com/watch?v=Gqfq_8jPw8Q&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Perfect Night
19,20,Discord,QWER,https://music.youtube.com/watch?v=-kcZNuFYnns&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,1st Single Album 'Harmony from Discord'
20,21,비의 랩소디,임재현,https://music.youtube.com/watch?v=TyCYGCCD6iQ&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,비의 랩소디
21,22,Seven - Explicit Ver. (feat. Latto),정국 (Jung Kook),https://music.youtube.com/watch?v=5McUFZz2s-w&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Seven
22,23,후라이의 꿈,AKMU,https://music.youtube.com/watch?v=ZlDDiHK4tQM&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Love Lee
23,24,アイドル,YOASOBI,https://music.youtube.com/watch?v=m9SMT5ipbxk&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,アイドル
24,25,Attention,NewJeans,https://music.youtube.com/watch?v=kdOS94IjzzE&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,NewJeans 1st EP 'New Jeans'
25,26,벚꽃 엔딩,버스커 버스커 (Busker Busker),https://music.youtube.com/watch?v=KvthiAoGTfo&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,버스커 버스커 1집
26,27,Welcome to the Show,DAY6,https://music.youtube.com/watch?v=ViDjwX-yfgc&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Fourever
27,28,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),https://music.youtube.com/watch?v=IMWT6937uUs&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
28,29,"Yes or No (feat. 허윤진 of LE SSERAFIM, Crush)",그루비룸 (GroovyRoom),https://music.youtube.com/watch?v=59DAuFD9D0U&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Yes or No
29,30,홀씨,아이유,https://music.youtube.com/watch?v=vXm52ToV8_c&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,The Winning
30,31,Siren,RIIZE,https://music.youtube.com/watch?v=m6M6awqPPns&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Siren
31,32,1. 봄봄봄,로이킴(Roy Kim),https://music.youtube.com/watch?v=iM0GXk9oArE&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,봄봄봄
32,33,헤어지자 말해요,박재정,https://music.youtube.com/watch?v=5BNXmOlRgzI&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,1집 Alone
33,34,봄 사랑 벚꽃 말고,HIGH4,https://music.youtube.com/watch?v=HeRk_RdzI-w&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,HIGH4 1st Mini Album ‘HI HIGH’
34,35,Super Shy,NewJeans,https://music.youtube.com/watch?v=n7ePZLn9_lQ&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,NewJeans 2nd EP 'Get Up'
35,36,청혼하지 않을 이유를 못 찾았어,이무진,https://music.youtube.com/watch?v=e7JladYoq9U&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,청혼하지 않을 이유를 못 찾았어
36,37,잘자요 아가씨 (Prod. 과나),ASMRZ(다나카&닛몰캐쉬),https://music.youtube.com/watch?v=7Fsie5WvzFM&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,잘자요 아가씨
37,38,인사,범진(BUMJIN),https://music.youtube.com/watch?v=LP0lRsckX1A&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,인사
38,39,ETA,NewJeans,https://music.youtube.com/watch?v=XCkpalH6Ppk&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,NewJeans 2nd EP 'Get Up'
39,40,에피소드,이무진,https://music.youtube.com/watch?v=7B6zArUXVbE&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,에피소드
40,41,우연히 봄,로꼬 및 유주 (YUJU),https://music.youtube.com/watch?v=VjYO5fdmWhk&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,냄새를 보는 소녀 (SBS 수목드라마) OST - Part.2
41,42,Love Lee,AKMU,https://music.youtube.com/watch?v=fx227oTnnPc&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Love Lee
42,43,You & Me,JENNIE,https://music.youtube.com/watch?v=VsJHVonN3T0&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,JENNIE Special Single [You & Me]
43,44,봄이 와도,로이킴,https://music.youtube.com/watch?v=Jmr_EEDkV-U&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,봄이 와도
44,45,너의 편이 돼 줄게,다비치,https://music.youtube.com/watch?v=HFs-TxyawgA&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,너의 편이 돼 줄게
45,46,Get A Guitar,RIIZE,https://music.youtube.com/watch?v=glGq1XiDBEQ&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,iScreaM Vol.28 : Get A Guitar Remixes
46,47,봄여름가을겨울 (Still Life),BIGBANG,https://music.youtube.com/watch?v=XJL-lduf174&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,봄여름가을겨울 (Still Life)
47,48,Shopper,아이유,https://music.youtube.com/watch?v=2dVlwcviCwQ&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,The Winning
48,49,개화 (Flowering),LUCY,https://music.youtube.com/watch?v=7jxlsVRylq8&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,DEAR.
49,50,Love 119,RIIZE,https://music.youtube.com/watch?v=XI4r_lw9gPk&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Love 119
50,51,칵테일 사랑,경서,https://music.youtube.com/watch?v=nuYf7eZar2w&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,칵테일 사랑
51,52,Lemon,Kenshi Yonezu,https://music.youtube.com/watch?v=3NNhrqHZqlI&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Lemon
52,53,Super Lady,(여자)아이들,https://music.youtube.com/watch?v=DWP7XTudxcg&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,2
53,54,DASH,NMIXX,https://music.youtube.com/watch?v=lgvM9exghpY&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Fe3O4: BREAK
54,55,Say Yes,로꼬 및 펀치,https://music.youtube.com/watch?v=eFcI7q1h-1g&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,"Moon Lovers: Scarlet Heart Ryeo, Part 2 (Original Sound Track)"
55,56,사랑했나봐,윤도현,https://music.youtube.com/watch?v=MDNzHG4DDhE&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,Difference
56,57,슬픈 초대장,순순희 (지환),https://music.youtube.com/watch?v=2ESaNbQiJJQ&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,슬픈 초대장
57,58,Deja Vu,투모로우바이투게더,https://music.youtube.com/watch?v=1MzNUehZ2cU&list=PL4fGSI1pDJn6jXS_Tv_N9B8Z0HTRVJE0m,minisode 3: TOMORROW
